d_week_seq1|r1|r2|r3|r4|r5|r6|round((sat_sales1 / sat_sales2), 2)
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5270|3.42|1.76|1.93|1.64|3.38|3.41|3.54
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5271|1.03|0.96|0.99|1.03|1.06|0.99|0.96
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
5272|0.96|0.95|0.96|0.97|1.12|1.0|0.99
