d_year|brand_id|brand|sum_agg
1998|2001001|amalgimporto #1|220899.26
1998|3002001|importoexporti #1|137061.30
1998|5003001|exportischolar #1|99648.76
1998|3004001|edu packexporti #1|96178.71
1998|1004001|edu packamalg #1|91628.48
1998|3003001|exportiexporti #1|85937.08
1998|2002002|importoimporto #2|73221.96
1998|2004001|edu packimporto #1|70968.77
1998|6003004|exporticorp #4|66727.32
1998|4003002|exportiedu pack #2|66322.90
1998|9004003|edu packmaxi #3|64009.81
1998|4002001|importoedu pack #1|61916.48
1998|5002002|importoscholar #2|60658.11
1998|2003001|exportiimporto #1|58557.65
1998|5004001|edu packscholar #1|56957.12
1998|10012015|importoamalgamalg #15|54741.72
1998|7003009|exportibrand #9|54572.38
1998|7013004|exportinameless #4|52266.43
1998|1004002|edu packamalg #2|49070.22
1998|2004002|edu packimporto #2|48506.85
1998|1003001|exportiamalg #1|48336.14
1998|10003008|exportiunivamalg #8|48021.89
1998|7008010|namelessbrand #10|45932.81
1998|6010003|univbrand #3|44865.96
1998|4004002|edu packedu pack #2|44623.91
1998|6011001|amalgbrand #1|43167.11
1998|8011009|amalgmaxi #9|42803.66
1998|9009003|maximaxi #3|41439.35
1998|9016008|corpunivamalg #8|38920.37
1998|10016004|corpamalgamalg #4|38891.37
1998|1003002|exportiamalg #2|38470.95
1998|6012005|importobrand #5|36913.80
1998|7002008|importobrand #8|36647.51
1998|6010002|univbrand #2|35983.73
1998|5002001|importoscholar #1|35807.79
1998|7014007|edu packnameless #7|35804.61
1998|8013008|exportimaxi #8|35547.19
1998|7007010|brandbrand #10|34540.78
1998|8009007|maxinameless #7|34512.21
1998|3003002|exportiexporti #2|33770.72
1998|6004008|edu packcorp #8|33361.14
1998|1001002|amalgamalg #2|31943.67
1998|6003007|exporticorp #7|31937.05
1998|3001001|amalgexporti #1|31720.59
1998|1001001|amalgamalg #1|31383.75
1998|6009002|maxicorp #2|31208.88
1998|10001002|amalgunivamalg #2|30920.64
1998|9005009|scholarmaxi #9|29856.12
1998|10007014|brandunivamalg #14|27361.68
1998|7003002|exportibrand #2|27062.84
1998|10010006|univamalgamalg #6|25413.67
1998|4003001|exportiedu pack #1|25245.52
1998|7008005|namelessbrand #5|25084.85
1998|2003002|exportiimporto #2|24715.19
1998|10007004|brandunivamalg #4|24456.19
1998|8002005|importonameless #5|24418.05
1998|9001005|amalgmaxi #5|24132.50
1998|5003002|exportischolar #2|23675.84
1998|10010002|univamalgamalg #2|23025.14
1998|3001002|amalgexporti #2|22935.19
1998|10006004|corpunivamalg #4|22241.91
1998|10001013|amalgunivamalg #13|21350.25
1998|5001001|amalgscholar #1|20142.83
1998|8001009|amalgnameless #9|20048.05
1998|9007009|brandmaxi #9|17626.48
1998|6015001|scholarbrand #1|16618.15
1998|4002002|importoedu pack #2|16483.65
1998|10010014|univamalgamalg #14|12610.45
1998|7009008|maxibrand #8|11184.19
1998|6014001|edu packbrand #1|2250.14
1999|2001001|amalgimporto #1|210616.68
1999|5003001|exportischolar #1|148918.03
1999|3002001|importoexporti #1|104566.72
1999|2002002|importoimporto #2|100549.27
1999|3004001|edu packexporti #1|97888.67
1999|3003001|exportiexporti #1|95997.90
1999|5002002|importoscholar #2|86182.12
1999|1004001|edu packamalg #1|81276.58
1999|1003001|exportiamalg #1|77540.06
1999|5004001|edu packscholar #1|64573.76
1999|2004001|edu packimporto #1|63423.47
1999|10016004|corpamalgamalg #4|59395.88
1999|9004003|edu packmaxi #3|57278.23
1999|2004002|edu packimporto #2|56440.35
1999|10007004|brandunivamalg #4|56187.13
1999|4002001|importoedu pack #1|55604.16
1999|10010006|univamalgamalg #6|53567.55
1999|7007010|brandbrand #10|50744.62
1999|1001002|amalgamalg #2|50135.09
1999|6011001|amalgbrand #1|49371.29
1999|9007009|brandmaxi #9|48750.35
1999|7013004|exportinameless #4|48257.83
1999|7003002|exportibrand #2|47478.66
1999|4003001|exportiedu pack #1|46653.64
1999|8013008|exportimaxi #8|45443.92
1999|2003002|exportiimporto #2|42988.84
1999|10003008|exportiunivamalg #8|42802.07
1999|5003002|exportischolar #2|42329.17
1999|1001001|amalgamalg #1|41019.97
1999|6014001|edu packbrand #1|40673.08
