channel|i_brand_id|i_class_id|i_category_id|sum_sales|sum_number_sales
NULL|NULL|NULL|NULL|6745840501.73|1564675
catalog|NULL|NULL|NULL|2347280701.23|462037
catalog|1001001|NULL|NULL|19518457.07|3824
catalog|1001001|1|NULL|10771500.54|2144
catalog|1001001|1|1|1111700.26|211
catalog|1001001|1|2|997636.07|209
catalog|1001001|1|3|1113196.21|222
catalog|1001001|1|4|1709654.41|319
catalog|1001001|1|5|956724.57|192
catalog|1001001|1|6|948747.10|170
catalog|1001001|1|7|1104605.48|225
catalog|1001001|1|8|1043307.27|207
catalog|1001001|1|9|681763.42|153
catalog|1001001|1|10|1104165.75|236
catalog|1001001|2|NULL|1234735.78|242
catalog|1001001|2|1|244544.38|51
catalog|1001001|2|2|323458.42|63
catalog|1001001|2|3|112690.32|19
catalog|1001001|2|4|110827.66|25
catalog|1001001|2|5|157818.38|30
catalog|1001001|2|6|44006.37|10
catalog|1001001|2|7|30993.56|9
catalog|1001001|2|8|45736.55|13
catalog|1001001|2|10|164660.14|22
catalog|1001001|3|NULL|1699304.07|332
catalog|1001001|3|1|318788.41|68
catalog|1001001|3|2|347788.55|65
catalog|1001001|3|3|182411.24|30
catalog|1001001|3|4|276367.13|57
catalog|1001001|3|5|156086.49|38
catalog|1001001|3|6|91815.55|11
catalog|1001001|3|7|67088.25|16
catalog|1001001|3|8|84782.06|13
catalog|1001001|3|9|146247.63|27
catalog|1001001|3|10|27928.76|7
catalog|1001001|4|NULL|1631478.42|293
catalog|1001001|4|1|400799.69|66
catalog|1001001|4|2|280208.10|51
catalog|1001001|4|3|279050.13|44
catalog|1001001|4|4|102552.25|26
catalog|1001001|4|5|273518.05|49
catalog|1001001|4|6|191264.29|35
catalog|1001001|4|7|77587.65|14
catalog|1001001|4|10|26498.26|8
catalog|1001001|5|NULL|276529.52|56
catalog|1001001|5|6|65068.74|12
catalog|1001001|5|9|88065.54|16
catalog|1001001|5|10|123395.24|28
catalog|1001001|6|NULL|181828.33|30
catalog|1001001|6|7|67555.02|10
catalog|1001001|6|9|114273.31|20
catalog|1001001|7|NULL|162743.23|37
catalog|1001001|7|6|62278.51|17
catalog|1001001|7|7|100464.72|20
catalog|1001001|8|NULL|224724.37|40
catalog|1001001|8|7|91020.75|18
catalog|1001001|8|9|24410.52|8
catalog|1001001|8|10|109293.10|14
catalog|1001001|9|NULL|497889.74|98
catalog|1001001|9|6|54139.78|13
catalog|1001001|9|7|113379.08|20
catalog|1001001|9|8|138350.02|27
catalog|1001001|9|9|38676.46|10
catalog|1001001|9|10|153344.40|28
catalog|1001001|10|NULL|388307.61|63
catalog|1001001|10|6|65491.63|11
catalog|1001001|10|8|72278.99|9
catalog|1001001|10|9|197725.30|32
catalog|1001001|10|10|52811.69|11
catalog|1001001|11|NULL|384804.28|79
catalog|1001001|11|7|82376.57|18
catalog|1001001|11|9|198295.13|35
catalog|1001001|11|10|104132.58|26
catalog|1001001|12|NULL|479330.85|75
catalog|1001001|12|6|89213.02|12
catalog|1001001|12|8|182537.05|31
catalog|1001001|12|9|89523.54|14
catalog|1001001|12|10|118057.24|18
catalog|1001001|13|NULL|469421.51|101
catalog|1001001|13|6|99838.81|22
catalog|1001001|13|7|204883.98|43
catalog|1001001|13|8|76057.30|19
catalog|1001001|13|10|88641.42|17
catalog|1001001|14|NULL|342081.85|61
catalog|1001001|14|6|283410.36|50
catalog|1001001|14|8|58671.49|11
catalog|1001001|15|NULL|434082.28|103
catalog|1001001|15|7|52177.54|10
catalog|1001001|15|8|57003.56|23
catalog|1001001|15|9|149976.78|33
catalog|1001001|15|10|174924.40|37
catalog|1001001|16|NULL|339694.69|70
catalog|1001001|16|6|78111.18|15
catalog|1001001|16|7|103311.01|18
catalog|1001001|16|8|35409.19|12
catalog|1001001|16|9|48741.31|8
catalog|1001001|16|10|74122.00|17
catalog|1001002|NULL|NULL|39927847.37|7890
catalog|1001002|1|NULL|31468569.94|6245
catalog|1001002|1|1|31468569.94|6245
