ca_zip|sum(cs_sales_price)
NULL|31293.68
30008|282.84
30059|7706.86
30069|7897.45
30116|441.70
30125|929.78
30141|600.50
30150|2807.73
30162|9342.35
30169|4491.46
30191|9636.76
30194|683.99
30262|436.95
30309|645.49
30319|797.27
30348|511.29
30369|608.32
30382|288.10
30399|9705.14
30408|677.41
30411|4702.56
30418|1407.60
30419|1290.89
30492|180.87
30499|7603.78
30525|265.88
30534|10091.69
30540|1887.11
30573|1965.80
30587|7521.11
30589|881.52
30634|1220.55
30636|644.49
30732|414.36
30894|1786.48
30919|569.45
30965|409.79
31083|635.11
31087|8674.81
31143|483.76
31160|1125.18
31204|1721.03
31209|1851.25
31216|184.24
31218|402.05
31229|559.23
31289|10242.51
31387|12627.71
31398|1025.98
31423|491.20
31521|10996.70
31529|328.67
31654|393.76
31669|619.57
31675|7058.65
31692|868.23
31711|12125.76
31732|425.88
31749|8646.39
31757|13431.95
31792|823.75
31824|392.98
31838|771.58
31844|634.69
31854|488.21
31904|5181.69
31934|562.39
31944|990.20
31952|12444.53
32037|773.26
32105|1006.86
32106|366.78
32123|144.81
32150|2548.39
32205|483.72
32219|849.56
32244|666.10
32276|603.20
32284|840.67
32293|8620.03
32297|368.64
32366|512.47
32477|6251.56
32503|1120.11
32562|631.52
32565|254.56
32629|1115.13
32686|100.01
32738|341.92
32739|8699.85
32808|9301.32
32812|7379.84
32819|225.64
32898|3847.66
32924|1372.42
32935|650.32
33003|6274.84
33027|1987.44
33075|852.52
33094|925.07
