brand_id|brand|i_manufact_id|i_manufact|ext_price
1001001|amalgamalg #1|644|eseesecally|89502.27
5002002|importoscholar #2|503|pribaranti|80468.58
1003001|exportiamalg #1|162|ablecallyought|71572.84
4004001|edu packedu pack #1|257|ationantiable|67178.63
9015011|scholarunivamalg #11|152|ableantiought|65723.63
4003001|exportiedu pack #1|474|eseationese|65463.16
7005001|scholarbrand #1|467|ationcallyese|65139.94
1003002|exportiamalg #2|784|eseeingation|64174.54
3004001|edu packexporti #1|130|barpriought|62805.80
7013001|exportinameless #1|18|eingought|62309.56
8012001|importomaxi #1|277|ationationable|61346.12
8005009|scholarnameless #9|324|eseablepri|60520.31
10009001|maxiunivamalg #1|427|ationableese|60116.72
8002007|importonameless #7|698|eingn stcally|59830.00
7005004|scholarbrand #4|641|oughtesecally|59120.66
9012003|importounivamalg #3|818|eingoughteing|58845.73
1002001|importoamalg #1|458|eingantiese|58323.26
7011005|amalgnameless #5|475|antiationese|58018.75
6008001|namelesscorp #1|100|barbarought|57769.60
9011008|amalgunivamalg #8|93|prin st|56227.35
5004002|edu packscholar #2|752|ableantiation|55960.08
7008008|namelessbrand #8|221|oughtableable|55861.25
2002001|importoimporto #1|766|callycallyation|55392.89
5004002|edu packscholar #2|143|prieseought|55153.54
10006011|corpunivamalg #11|328|eingablepri|54785.41
5004002|edu packscholar #2|56|callyanti|54739.43
2002001|importoimporto #1|248|eingeseable|54657.83
9007009|brandmaxi #9|248|eingeseable|54502.36
2004001|edu packimporto #1|651|oughtantically|54263.35
2001001|amalgimporto #1|69|n stcally|54172.20
2004001|edu packimporto #1|266|callycallyable|53600.26
2003001|exportiimporto #1|733|pripriation|53572.71
8011009|amalgmaxi #9|532|ableprianti|53282.83
10011002|amalgamalgamalg #2|112|ableoughtought|53134.25
5003001|exportischolar #1|219|n stoughtable|52862.48
1003002|exportiamalg #2|654|eseantically|52832.44
10015008|scholaramalgamalg #8|839|n stprieing|52696.52
5002001|importoscholar #1|319|n stoughtpri|52684.92
1001001|amalgamalg #1|43|priese|52650.22
7002007|importobrand #7|279|n stationable|52329.83
9006009|corpmaxi #9|887|ationeingeing|52276.13
5001002|amalgscholar #2|30|barpri|52158.40
10012006|importoamalgamalg #6|162|ablecallyought|52151.60
7010001|univnameless #1|192|ablen stought|52127.93
2003001|exportiimporto #1|440|bareseese|52104.79
9007011|brandmaxi #11|238|eingpriable|51735.89
8009002|maxinameless #2|558|eingantianti|51704.02
1002001|importoamalg #1|243|prieseable|51292.63
5003001|exportischolar #1|541|oughteseanti|51289.08
10013003|exportiamalgamalg #3|193|prin stought|51255.05
7003009|exportibrand #9|355|antiantipri|51060.32
10006017|corpunivamalg #17|54|eseanti|50849.78
1004001|edu packamalg #1|222|ableableable|50820.40
2004001|edu packimporto #1|584|eseeinganti|50769.46
9005011|scholarmaxi #11|349|n stesepri|50730.72
6005006|scholarcorp #6|324|eseablepri|50642.13
7011009|amalgnameless #9|262|ablecallyable|50521.36
10001005|amalgunivamalg #5|723|priableation|50275.16
5003001|exportischolar #1|131|oughtpriought|50275.01
3003001|exportiexporti #1|275|antiationable|50008.95
9009011|maximaxi #11|302|ablebarpri|49579.77
6011003|amalgbrand #3|900|barbarn st|49530.25
3004002|edu packexporti #2|119|n stoughtought|49430.87
6016004|corpbrand #4|220|barableable|49307.58
8003006|exportinameless #6|399|n stn stpri|49138.44
8003003|exportinameless #3|85|antieing|48833.84
4002001|importoedu pack #1|101|oughtbarought|48818.22
7004005|edu packbrand #5|93|prin st|48675.72
7002008|importobrand #8|255|antiantiable|48608.44
5004002|edu packscholar #2|186|callyeingought|48306.22
3002002|importoexporti #2|409|n stbarese|48018.05
9009009|maximaxi #9|103|pribarought|47711.09
1002002|importoamalg #2|295|antin stable|47531.94
1004001|edu packamalg #1|675|antiationcally|47526.51
3004002|edu packexporti #2|169|n stcallyought|47439.24
9016011|corpunivamalg #11|330|barpripri|47428.83
10001008|amalgunivamalg #8|338|eingpripri|47146.23
5004001|edu packscholar #1|185|antieingought|46989.91
3001002|amalgexporti #2|609|n stbarcally|46947.06
5004001|edu packscholar #1|282|ableeingable|46914.65
9009011|maximaxi #11|117|ationoughtought|46912.39
9001002|amalgmaxi #2|214|eseoughtable|46849.19
1002001|importoamalg #1|184|eseeingought|46700.45
4003001|exportiedu pack #1|216|callyoughtable|46697.38
7009005|maxibrand #5|132|ablepriought|46649.65
2003001|exportiimporto #1|243|prieseable|46551.19
8011003|amalgmaxi #3|683|prieingcally|46474.36
6008007|namelesscorp #7|77|ationation|46356.17
6003002|exporticorp #2|2|able|46324.05
5003002|exportischolar #2|94|esen st|46256.24
8001009|amalgnameless #9|21|oughtable|46221.69
8006007|corpnameless #7|642|ableesecally|46016.23
6001005|amalgcorp #5|199|n stn stought|45889.88
7005009|scholarbrand #9|885|antieingeing|45884.87
2002001|importoimporto #1|670|barationcally|45880.08
7001009|amalgbrand #9|538|eingprianti|45863.39
9003003|exportimaxi #3|625|antiablecally|45650.07
6002007|importocorp #7|503|pribaranti|45543.13
5002002|importoscholar #2|130|barpriought|45510.30
5001001|amalgscholar #1|230|barpriable|45417.40
