i_manufact_id|total_sales
944|39122.84
915|40179.30
977|41434.28
930|45596.84
906|46506.85
927|46852.40
739|47020.29
969|47330.50
796|50234.66
817|51110.17
975|51754.86
956|52764.27
857|53089.14
846|53813.05
925|54220.22
838|56322.62
738|58431.22
935|59023.22
875|59386.53
847|61109.09
717|61292.86
964|61552.68
720|62185.93
960|63223.00
729|63764.02
745|63822.65
923|65454.68
697|65677.61
709|65850.29
690|67458.70
957|67701.27
820|67783.29
992|68686.76
806|68892.42
695|69591.11
744|69738.14
693|69954.97
861|70262.58
997|70524.49
863|70756.35
740|70799.74
814|70861.45
933|71192.51
766|71293.47
818|72378.58
891|73029.70
726|73094.68
978|73177.65
902|73402.23
736|73634.55
996|73728.71
734|74386.98
784|74606.54
826|75735.76
808|76950.40
946|77071.52
711|77146.73
815|77233.54
936|77316.86
963|77661.05
831|78124.95
916|79056.25
959|80143.74
853|80169.14
715|81222.27
821|81346.32
698|81993.35
774|82321.35
676|82406.03
893|82634.52
828|82652.98
921|83670.73
990|84130.63
876|84946.90
779|85573.88
886|85700.99
941|86639.84
678|87029.31
830|88074.53
768|88158.07
755|89590.72
789|90389.75
782|90393.81
994|90396.36
899|90582.54
672|91055.26
798|91566.10
832|91916.59
749|92087.48
971|92396.16
835|92444.63
772|92759.69
983|92912.61
967|93368.67
850|93451.55
998|93646.62
773|93721.89
907|94859.06
999|95003.82
888|95106.23
