gross_margin|i_category|i_class|lochierarchy|rank_within_parent
-0.4334002282978323|NULL|NULL|2|1
-0.4387240319671753|Shoes|NULL|1|1
-0.43672345316281114|Women|NULL|1|2
-0.43493424719617596|Books|NULL|1|3
-0.43419521246098264|Music|NULL|1|4
-0.4336367573005964|Men|NULL|1|5
-0.4331528544297283|NULL|NULL|1|6
-0.4325643602885184|Children|NULL|1|7
-0.43182160250836565|Sports|NULL|1|8
-0.43174679123954607|Home|NULL|1|9
-0.4313293134744977|Electronics|NULL|1|10
-0.4283209126817044|Jewelry|NULL|1|11
-0.8047716693042263|NULL|business|0|1
-0.7682578468205036|NULL|archery|0|2
-0.74600010266419|NULL|baseball|0|3
-0.7404764655812582|NULL|womens|0|4
-0.6876752637285876|NULL|fitness|0|5
-0.631032532064654|NULL|birdal|0|6
-0.6001229641982506|NULL|mens|0|7
-0.5817552063570308|NULL|scanners|0|8
-0.5582811070490722|NULL|sports-apparel|0|9
-0.5146132654019089|NULL|basketball|0|10
-0.510884024559875|NULL|tables|0|11
-0.5036196913401133|NULL|accessories|0|12
-0.48482484978485463|NULL|school-uniforms|0|13
-0.4846550248531669|NULL|athletic|0|14
-0.48448928344864567|NULL|optics|0|15
-0.48044235656116097|NULL|shirts|0|16
-0.4621618621397812|NULL|curtains/drapes|0|17
-0.4553803626709222|NULL|NULL|0|18
-0.4385554946093839|NULL|country|0|19
-0.4343400321511218|NULL|flatware|0|20
-0.43264738169865924|NULL|fragrances|0|21
-0.432310445686509|NULL|musical|0|22
-0.4004240170696717|NULL|camcorders|0|23
-0.3846795156190274|NULL|loose stones|0|24
-0.38411470624123695|NULL|womens watch|0|25
-0.3819196271394994|NULL|pants|0|26
-0.38191686284969134|NULL|lighting|0|27
-0.3725986378849385|NULL|dresses|0|28
-0.37043670662570394|NULL|newborn|0|29
-0.36338344926121874|NULL|kids|0|30
-0.34131992545756323|NULL|toddlers|0|31
-0.33807543002884455|NULL|camping|0|32
-0.3322788065048847|NULL|parenting|0|33
-0.3285714150912684|NULL|swimwear|0|34
-0.30774926707096545|NULL|classical|0|35
-0.2821274743162555|NULL|karoke|0|36
-0.27409971541015876|NULL|semi-precious|0|37
-0.2646618100481468|NULL|dvd/vcr players|0|38
-0.24994085406474195|NULL|custom|0|39
-0.21347311853816384|NULL|glassware|0|40
-0.2120381776299151|NULL|bracelets|0|41
-0.20425956961566039|NULL|reference|0|42
-0.16976583451173446|NULL|guns|0|43
-0.09933052448129844|NULL|rugs|0|44
-0.4540806457181138|Books|parenting|0|1
-0.4450465639255371|Books|arts|0|2
-0.4446362491911801|Books|sports|0|3
-0.44289758640978816|Books|cooking|0|4
-0.4413638405710421|Books|business|0|5
-0.4386638411706048|Books|travel|0|6
-0.4381530550856842|Books|entertainments|0|7
-0.436064324507605|Books|science|0|8
-0.4340525998322327|Books|fiction|0|9
-0.43355652167684067|Books|home repair|0|10
-0.4319855392095273|Books|computers|0|11
-0.42858646843514775|Books|history|0|12
-0.4269957824427859|Books|romance|0|13
-0.4266006895742131|Books|mystery|0|14
-0.4207416969785997|Books|self-help|0|15
-0.4180526942099182|Books|reference|0|16
-0.33627049631201644|Books|NULL|0|17
-0.4834243316517925|Children|NULL|0|1
-0.4342913640674433|Children|toddlers|0|2
-0.43404876244276386|Children|infants|0|3
-0.4328109771169922|Children|school-uniforms|0|4
-0.4287847583855199|Children|newborn|0|5
-0.456797536367087|Electronics|NULL|0|1
-0.45228952813174106|Electronics|audio|0|2
-0.4518195372226876|Electronics|portable|0|3
-0.44801267457796873|Electronics|wireless|0|4
-0.43491546723104896|Electronics|stereo|0|5
-0.433846567432092|Electronics|camcorders|0|6
-0.4319054773056321|Electronics|scanners|0|7
-0.4300653613660701|Electronics|karoke|0|8
-0.4297923656942328|Electronics|disk drives|0|9
-0.4289388488267453|Electronics|memory|0|10
-0.42852833944597224|Electronics|cameras|0|11
-0.427102485882349|Electronics|automotive|0|12
-0.42703405555534485|Electronics|monitors|0|13
-0.42654172488675135|Electronics|televisions|0|14
-0.42507947014375863|Electronics|dvd/vcr players|0|15
-0.4152869960933089|Electronics|musical|0|16
-0.4142381633696328|Electronics|personal|0|17
-0.4408926983510703|Home|lighting|0|1
-0.4392136401085999|Home|bathroom|0|2
-0.4389670813442963|Home|rugs|0|3
-0.43737942128766216|Home|tables|0|4
-0.436921544671864|Home|curtains/drapes|0|5
