c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|amt|profit
NULL|NULL|Aberdeen|Providence|1550421|2301.91|-11953.02
NULL|NULL|Acme|Shiloh|152927|2595.36|-1860.02
NULL|NULL|Adrian|Marion|1784635|5848.33|-14345.38
NULL|NULL|Adrian|Mount Zion|539157|3380.05|-17864.42
NULL|NULL|Andover|Liberty|1875214|439.68|-8187.89
NULL|NULL|Antioch|Arlington|1033350|4.54|507.52
NULL|NULL|Antioch|Hopewell|1663691|3836.43|-9119.12
NULL|NULL|Antioch|Midway|1686648|5175.94|-12230.55
NULL|NULL|Antioch|Monroe|526244|8415.50|-8922.68
NULL|NULL|Antioch|Mount Vernon|1073972|846.29|-1896.86
NULL|NULL|Antioch|Newtown|2169002|9079.57|-10003.04
NULL|NULL|Antioch|Springfield|904754|0.00|-11505.51
NULL|NULL|Antioch|Woodville|1235597|2308.73|9003.95
NULL|NULL|Arlington|Crystal|1072350|1631.67|-11460.80
NULL|NULL|Arlington|Glenwood|337851|0.00|-1192.80
NULL|NULL|Arlington|Union|1465600|3555.90|-20466.14
NULL|NULL|Arthur|Bay View|224805|9067.28|-23417.58
NULL|NULL|Ashland|Fairview|1226211|6255.62|-13652.68
NULL|NULL|Ashland|Glendale|1468350|7230.41|-10507.84
NULL|NULL|Ashland|Greenwood|242156|468.67|-11254.34
NULL|NULL|Ashland|Highland|428608|1098.33|-4504.77
NULL|NULL|Ashland|Lincoln|2254497|0.00|-11122.77
NULL|NULL|Ashland|Mount Vernon|1490997|1384.93|-10829.25
NULL|NULL|Ashland|Pleasant Grove|1306330|6776.87|-30549.26
NULL|NULL|Ashland|Union Hill|811228|7449.71|-17444.48
NULL|NULL|Belmont|Fairview|765943|782.17|-15699.51
NULL|NULL|Belmont|Farmington|929217|2835.06|-12836.95
NULL|NULL|Belmont|Florence|493154|3522.98|-11806.64
NULL|NULL|Belmont|Florence|1474595|4890.32|-6293.94
NULL|NULL|Belmont|Liberty|1230044|0.00|-10434.63
NULL|NULL|Belmont|Mount Pleasant|1992872|320.78|-3144.18
NULL|NULL|Belmont|Waterloo|894624|2726.65|-19944.33
NULL|NULL|Bethel|Spring Hill|1921385|0.00|-4561.55
NULL|NULL|Bethel|Spring Valley|725931|1233.77|-2229.91
NULL|NULL|Blanchard|Forest Hills|576066|0.00|-2511.41
NULL|NULL|Brandon|Perkins|892285|1586.97|-18249.00
NULL|NULL|Bridgeport|Oak Ridge|243466|5325.79|-29114.44
NULL|NULL|Bridgeport|Spring Hill|147998|3371.18|-13174.51
NULL|NULL|Bridgeport|Unionville|1732740|599.08|413.27
NULL|NULL|Brookwood|Riverdale|293832|0.00|-8747.75
NULL|NULL|Brownsville|Deerfield|52872|269.05|-10314.86
NULL|NULL|Brownsville|Deerfield|2010494|1872.98|-15851.63
NULL|NULL|Brownsville|Edgewood|1970417|324.45|-9807.41
NULL|NULL|Brownsville|Harmony|790522|1058.25|-21395.50
NULL|NULL|Brownsville|Jamestown|1654195|5095.98|-16775.47
NULL|NULL|Brownsville|Mount Olive|1662925|5009.18|-6676.49
NULL|NULL|Brownsville|Mountain View|831564|1297.52|-12604.65
NULL|NULL|Brownsville|Pleasant Valley|18648|1314.16|-12674.74
NULL|NULL|Brownsville|Riverdale|1334505|3209.25|-11331.35
NULL|NULL|Brownsville|Spring Hill|1600195|0.00|-3615.04
NULL|NULL|Brownsville|Unionville|1279358|1016.99|-19197.29
NULL|NULL|Brownsville|Wilton|1245652|2.12|-2824.56
NULL|NULL|Buena Vista|Enterprise|1935213|627.16|-12515.73
NULL|NULL|Buena Vista|Enterprise|2109001|2944.15|-16546.72
NULL|NULL|Bunker Hill|Friendship|1838406|170.77|-9999.13
NULL|NULL|Bunker Hill|White Oak|1179034|608.57|-2700.18
NULL|NULL|Bunker Hill|Woodland|1554080|1042.11|-8329.70
NULL|NULL|Caledonia|Kingston|40278|560.76|-5912.46
NULL|NULL|Cedar Grove|Carter|266784|6818.93|-20806.53
NULL|NULL|Cedar Grove|New Hope|214461|11526.83|-15691.17
NULL|NULL|Cedar Grove|Pleasant Valley|151420|1196.67|-6801.60
NULL|NULL|Cedar Grove|Spring Hill|388916|802.90|-20200.45
NULL|NULL|Centerville|Cedar Grove|1301469|4490.78|-7294.24
NULL|NULL|Centerville|Greenwood|2120854|2450.26|-19518.17
NULL|NULL|Centerville|Summit|1058334|1785.39|-5921.81
NULL|NULL|Centerville|Unionville|1341266|490.90|-2634.15
NULL|NULL|Centerville|Unionville|1982812|1150.20|-8214.02
NULL|NULL|Clark|Kingston|1992078|1432.85|-7076.06
NULL|NULL|Clifton|Lakeville|2197468|548.35|-3329.59
NULL|NULL|Clifton|Mount Vernon|419146|511.74|-12562.75
NULL|NULL|Clifton|River Oaks|225826|2811.47|-12601.26
