i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|edu packimporto #1|able|Unknown|1999|2|41362.71166666667|20298.43|29935.20|24614.10
Children|exportiexporti #1|ese|Unknown|1999|4|40440.46166666667|19851.42|24398.83|26776.27
Music|edu packscholar #1|bar|Unknown|1999|5|40798.339166666665|20289.60|22302.70|24366.02
Music|edu packscholar #1|able|Unknown|1999|4|41179.08583333333|20785.60|23583.82|24501.27
Children|amalgexporti #1|eing|Unknown|1999|2|37086.78916666667|16728.31|27575.03|20188.23
Men|edu packimporto #1|eing|Unknown|1999|2|40726.59166666667|20381.23|30881.29|25057.14
Women|exportiamalg #1|eing|Unknown|1999|4|37058.555|16956.95|21984.36|21839.00
Women|amalgamalg #1|able|Unknown|1999|4|38941.75166666666|18854.36|20945.71|21971.42
Children|importoexporti #1|eing|Unknown|1999|2|39356.2675|19298.76|28859.52|21474.53
Music|amalgscholar #1|eing|Unknown|1999|2|36197.08833333333|16248.14|24893.80|21386.96
Children|exportiexporti #1|able|Unknown|1999|2|39629.699166666665|19973.93|26996.47|23625.66
Shoes|edu packedu pack #1|eing|Unknown|1999|2|38972.145|19321.05|29775.10|21822.09
Music|importoscholar #1|able|Unknown|1999|2|39129.95916666667|19600.04|25969.24|23282.34
Children|importoexporti #1|ese|Unknown|1999|3|38954.40833333333|19430.56|19576.87|23699.46
Men|importoimporto #1|ese|Unknown|1999|4|38837.708333333336|19329.36|23534.92|22348.04
Music|importoscholar #1|eing|Unknown|1999|2|38734.135|19354.60|31276.48|21970.89
Children|importoexporti #1|ese|Unknown|1999|2|38954.40833333333|19576.87|28675.21|19430.56
Shoes|exportiedu pack #1|able|Unknown|1999|2|40480.04833333333|21104.54|28458.18|23162.06
Shoes|amalgedu pack #1|bar|Unknown|1999|2|39979.54083333333|20720.77|25339.22|23242.84
Music|edu packscholar #1|able|Unknown|1999|2|41179.08583333333|21939.37|29705.91|23583.82
Men|importoimporto #1|ese|Unknown|1999|2|38837.708333333336|19603.31|26944.91|23534.92
Shoes|exportiedu pack #1|eing|Unknown|1999|6|40111.49833333334|20899.76|21345.98|24670.72
Shoes|exportiedu pack #1|eing|Unknown|1999|2|40111.49833333334|20962.11|29248.98|21162.32
Shoes|amalgedu pack #1|able|Unknown|1999|2|40343.784166666665|21227.99|27748.79|22410.53
Music|edu packscholar #1|ese|Unknown|1999|2|40571.520833333336|21491.37|27902.65|23099.55
Women|amalgamalg #1|bar|Unknown|1999|6|37768.909166666665|18688.91|23381.32|21669.61
Music|exportischolar #1|able|Unknown|1999|2|37906.86083333333|18884.60|26200.74|20286.05
Music|importoscholar #1|bar|Unknown|1999|4|38641.695|19628.16|23228.04|23638.99
Women|amalgamalg #1|ese|Unknown|1999|4|38429.905|19418.53|24798.67|22795.13
Children|exportiexporti #1|bar|Unknown|1999|2|38539.63333333333|19555.58|28826.36|21944.31
Shoes|amalgedu pack #1|eing|Unknown|1999|5|39380.805|20423.72|21801.22|22984.16
Shoes|exportiedu pack #1|eing|Unknown|1999|3|40111.49833333334|21162.32|20962.11|23579.03
