channel|item|return_ratio|return_rank|currency_rank
catalog|53427|0.0|1|39
catalog|27951|0.0|1|138
catalog|90927|0.0|1|206
catalog|25087|0.0|1|264
catalog|56525|0.0|1|281
catalog|41237|0.0|1|288
catalog|48427|0.48484848484848486|7|28
catalog|32097|0.48936170212765956|8|1
catalog|48833|0.49382716049382713|9|2
catalog|72447|0.5|10|3
catalog|74641|0.5|10|3
catalog|95289|0.5|10|17
catalog|6701|0.5061728395061729|13|5
catalog|45541|0.5238095238095238|14|6
catalog|19347|0.5306122448979592|15|7
catalog|98807|0.5393258426966292|16|8
catalog|50977|0.5584415584415584|17|9
catalog|73321|0.5625|18|10
store|7249|0.0|1|41
store|16209|0.0|1|53
store|58917|0.0|1|93
store|32453|0.6428571428571429|4|1
store|65165|0.6976744186046512|5|2
store|72497|0.7065217391304348|6|3
store|27731|0.7070707070707071|7|4
store|42197|0.7391304347826086|8|5
store|5755|0.74|9|126
store|11201|0.75|10|131
store|2025|0.7582417582417582|11|6
store|60287|0.7628865979381443|12|7
store|7289|0.7640449438202247|13|8
store|7829|0.7647058823529411|14|9
store|38105|0.7777777777777778|15|10
web|1261|0.0|1|44
web|39815|0.0|1|197
web|41547|0.51|3|174
web|10317|0.5454545454545454|4|1
web|11709|0.5670103092783505|5|2
web|76237|0.5777777777777777|6|3
web|55743|0.5833333333333334|7|4
web|66275|0.5978260869565217|8|5
web|11793|0.5979381443298969|9|6
web|59847|0.6|10|7
web|101227|0.6129032258064516|11|8
web|34525|0.6224489795918368|12|9
web|83943|0.63|13|10
