item_sk|d_date|web_sales|store_sales|web_cumulative|store_cumulative
2|2000-04-21|488.57|NULL|488.57|437.41
2|2000-04-25|554.03|NULL|554.03|437.41
2|2000-04-27|NULL|442.52|554.03|442.52
2|2000-05-01|640.49|NULL|640.49|442.52
2|2000-05-05|657.86|NULL|657.86|442.52
2|2000-05-12|NULL|494.48|657.86|494.48
2|2000-05-25|NULL|503.88|657.86|503.88
2|2000-05-28|842.32|593.01|842.32|593.01
2|2000-05-31|NULL|593.53|842.32|593.53
2|2000-06-07|NULL|635.46|842.32|635.46
2|2000-06-15|933.86|NULL|933.86|635.46
2|2000-06-24|NULL|670.39|933.86|670.39
2|2000-06-26|NULL|672.97|933.86|672.97
2|2000-06-27|NULL|693.43|933.86|693.43
2|2000-06-29|1175.15|NULL|1175.15|693.43
2|2000-07-04|NULL|693.64|1175.15|693.64
2|2000-07-05|NULL|710.89|1175.15|710.89
2|2000-07-12|NULL|743.69|1175.15|743.69
2|2000-07-17|NULL|821.44|1175.15|821.44
2|2000-07-24|NULL|883.01|1175.15|883.01
2|2000-07-28|NULL|934.27|1175.15|934.27
2|2000-08-11|NULL|1018.76|1175.15|1018.76
2|2000-08-14|1204.59|NULL|1204.59|1018.76
2|2000-08-15|NULL|1022.36|1204.59|1022.36
2|2000-08-16|1348.03|NULL|1348.03|1022.36
2|2000-08-17|NULL|1022.36|1348.03|1022.36
2|2000-08-18|NULL|1071.04|1348.03|1071.04
2|2000-08-21|1375.66|NULL|1375.66|1071.04
2|2000-08-22|NULL|1072.67|1375.66|1072.67
2|2000-08-27|NULL|1075.01|1375.66|1075.01
2|2000-08-28|NULL|1079.86|1375.66|1079.86
2|2000-08-30|1522.05|NULL|1522.05|1079.86
2|2000-08-31|NULL|1141.61|1522.05|1141.61
2|2000-09-08|NULL|1178.16|1522.05|1178.16
2|2000-09-12|NULL|1183.52|1522.05|1183.52
2|2000-09-17|NULL|1203.58|1522.05|1203.58
2|2000-09-18|NULL|1286.28|1522.05|1286.28
2|2000-09-19|NULL|1341.15|1522.05|1341.15
2|2000-09-20|NULL|1364.83|1522.05|1364.83
2|2000-09-21|NULL|1366.65|1522.05|1366.65
2|2000-09-22|NULL|1487.66|1522.05|1487.66
2|2000-09-24|NULL|1495.73|1522.05|1495.73
2|2000-09-25|1599.19|NULL|1599.19|1495.73
2|2000-09-26|1618.11|1544.76|1618.11|1544.76
2|2000-10-25|2097.85|NULL|2097.85|2065.09
2|2000-10-26|NULL|2082.17|2097.85|2082.17
17|2000-01-03|54.90|NULL|54.90|6.29
17|2000-01-16|NULL|48.98|54.90|48.98
17|2000-01-20|144.96|NULL|144.96|48.98
17|2000-02-03|316.86|74.16|316.86|74.16
17|2000-02-04|NULL|74.80|316.86|74.80
17|2000-02-07|NULL|86.17|316.86|86.17
17|2000-02-14|NULL|140.05|316.86|140.05
17|2000-02-16|NULL|186.25|316.86|186.25
17|2000-02-19|321.55|NULL|321.55|186.25
19|2000-01-01|72.77|65.36|72.77|65.36
25|2000-01-04|60.46|NULL|60.46|19.52
25|2000-01-08|91.04|NULL|91.04|19.52
25|2000-01-17|NULL|39.85|91.04|39.85
25|2000-01-21|101.97|NULL|101.97|39.85
25|2000-01-23|NULL|41.49|101.97|41.49
31|2000-01-02|75.77|38.05|75.77|38.05
31|2000-01-23|87.71|NULL|87.71|38.05
31|2000-02-16|324.65|NULL|324.65|254.39
31|2000-02-20|NULL|255.54|324.65|255.54
31|2000-02-24|NULL|277.01|324.65|277.01
31|2000-02-25|NULL|277.82|324.65|277.82
31|2000-02-26|345.30|286.18|345.30|286.18
31|2000-03-07|NULL|292.17|345.30|292.17
31|2000-03-13|NULL|326.81|345.30|326.81
31|2000-03-15|352.61|NULL|352.61|326.81
31|2000-03-22|NULL|346.96|352.61|346.96
31|2000-03-27|460.89|365.76|460.89|365.76
31|2000-03-28|465.74|NULL|465.74|365.76
31|2000-04-06|539.34|NULL|539.34|365.76
31|2000-04-12|559.13|NULL|559.13|365.76
31|2000-04-21|NULL|393.94|559.13|393.94
31|2000-04-24|NULL|396.55|559.13|396.55
31|2000-05-02|NULL|410.62|559.13|410.62
31|2000-05-16|NULL|484.84|559.13|484.84
31|2000-05-21|754.78|NULL|754.78|484.84
31|2000-05-22|NULL|484.84|754.78|484.84
31|2000-05-27|NULL|521.11|754.78|521.11
31|2000-05-29|NULL|615.37|754.78|615.37
31|2000-06-03|NULL|615.37|754.78|615.37
31|2000-06-06|NULL|666.96|754.78|666.96
31|2000-06-07|NULL|695.31|754.78|695.31
31|2000-06-13|771.78|NULL|771.78|761.24
31|2000-06-23|896.68|NULL|896.68|827.27
31|2000-06-27|NULL|850.59|896.68|850.59
37|2000-02-11|216.99|NULL|216.99|209.97
41|2000-01-03|242.51|6.17|242.51|6.17
41|2000-01-04|NULL|105.98|242.51|105.98
41|2000-01-05|423.87|NULL|423.87|105.98
41|2000-01-06|NULL|181.65|423.87|181.65
41|2000-01-09|NULL|267.19|423.87|267.19
41|2000-01-10|NULL|313.99|423.87|313.99
41|2000-01-13|NULL|319.19|423.87|319.19
41|2000-01-30|NULL|338.39|423.87|338.39
41|2000-01-31|NULL|343.85|423.87|343.85
