d_year|brand_id|brand|ext_price
2000|3002002|importoexporti #2|620054.14
2000|1004002|edu packamalg #2|611941.35
2000|2004002|edu packimporto #2|587985.63
2000|1001002|amalgamalg #2|566178.71
2000|2001002|amalgimporto #2|555329.21
2000|5001002|amalgscholar #2|535669.14
2000|4003001|exportiedu pack #1|511561.84
2000|2003002|exportiimporto #2|500671.45
2000|3001002|amalgexporti #2|453853.92
2000|3004002|edu packexporti #2|448737.33
2000|1003002|exportiamalg #2|446955.16
2000|4002002|importoedu pack #2|436623.32
2000|4004002|edu packedu pack #2|382019.98
2000|3003002|exportiexporti #2|364599.96
2000|4001002|amalgedu pack #2|354416.23
2000|5003002|exportischolar #2|352235.33
2000|5004002|edu packscholar #2|346598.30
2000|4003002|exportiedu pack #2|343573.79
2000|2002001|importoimporto #1|322878.99
2000|1003001|exportiamalg #1|302388.31
2000|5002002|importoscholar #2|300970.20
2000|4004001|edu packedu pack #1|298578.74
2000|2002002|importoimporto #2|292943.80
2000|1004001|edu packamalg #1|268117.98
2000|1001001|amalgamalg #1|260587.11
2000|4001001|amalgedu pack #1|233633.34
2000|1002001|importoamalg #1|231320.15
2000|3003001|exportiexporti #1|220751.63
2000|1002002|importoamalg #2|220610.31
2000|3002001|importoexporti #1|211162.55
2000|4002001|importoedu pack #1|199253.24
2000|3004001|edu packexporti #1|198773.11
2000|5003001|exportischolar #1|198330.64
2000|5001001|amalgscholar #1|198090.74
2000|3001001|amalgexporti #1|197898.16
2000|2001001|amalgimporto #1|189299.09
2000|2003001|exportiimporto #1|157499.85
2000|5004001|edu packscholar #1|135928.40
2000|9011008|amalgunivamalg #8|126079.27
2000|9010009|univunivamalg #9|121393.50
2000|7016001|corpnameless #1|117656.23
2000|2004001|edu packimporto #1|111064.16
2000|6001007|amalgcorp #7|106030.99
2000|6015006|scholarbrand #6|102306.17
2000|9013009|exportiunivamalg #9|100387.32
2000|10016001|corpamalgamalg #1|97090.95
2000|5002001|importoscholar #1|95984.02
2000|9012003|importounivamalg #3|94621.57
2000|8010004|univmaxi #4|94120.30
2000|10009013|maxiunivamalg #13|93741.93
2000|6015004|scholarbrand #4|88644.72
2000|9006009|corpmaxi #9|85774.27
2000|10014016|edu packamalgamalg #16|84957.77
2000|7001008|amalgbrand #8|84106.31
2000|9011009|amalgunivamalg #9|83994.00
2000|6008005|namelesscorp #5|83870.59
2000|6005001|scholarcorp #1|83605.38
2000|7012010|importonameless #10|79390.17
2000|7013002|exportinameless #2|79163.13
2000|9001008|amalgmaxi #8|77432.84
2000|8003004|exportinameless #4|77038.95
2000|4004001|edu packscholar #2|76786.85
2000|9004008|edu packmaxi #8|75689.18
2000|10012004|importoamalgamalg #4|75665.52
2000|6004004|edu packcorp #4|75190.35
2000|6004007|edu packscholar #2|74896.18
2000|9015009|scholarunivamalg #9|74525.79
2000|8002009|importonameless #9|74342.02
2000|7009010|maxibrand #10|74266.47
2000|6015008|scholarbrand #8|72873.86
2000|9015003|scholarunivamalg #3|72633.40
2000|6016006|corpbrand #6|71654.20
2000|7012009|importonameless #9|71609.46
2000|8016001|corpmaxi #1|69708.72
2000|9002003|importomaxi #3|69474.62
2000|8009010|maxinameless #10|68357.06
2000|7008006|namelessbrand #6|67831.16
2000|10004015|edu packunivamalg #15|67692.96
2000|10016003|corpamalgamalg #3|67353.18
2000|8005009|scholarnameless #9|67079.59
2000|6003003|exporticorp #3|65381.37
2000|8008003|namelessnameless #3|65163.83
2000|10003011|exportiunivamalg #11|64646.86
2000|10003004|exportiunivamalg #4|64213.02
2000|8015006|scholarmaxi #6|63912.85
2000|8012010|importomaxi #10|63699.53
2000|7010010|univnameless #10|63242.09
2000|2002001|exportiexporti #2|61616.52
2000|10003007|exportiunivamalg #7|61585.29
2000|7011008|amalgnameless #8|61170.40
2000|2003001|amalgbrand #4|60866.63
2000|9012006|importounivamalg #6|60737.25
2000|6003008|exporticorp #8|59610.60
2000|10015005|scholaramalgamalg #5|58699.01
2000|8005003|scholarnameless #3|58437.14
2000|9009002|maximaxi #2|57538.39
2000|7010001|univnameless #1|57154.48
2000|7015009|scholarnameless #9|56793.78
2000|6007007|brandcorp #7|56579.90
2000|7010004|univnameless #4|56552.97
