i_manufact_id|sum_sales|avg_quarterly_sales
990|429.30|652.63
990|461.00|652.63
990|1062.84|652.63
787|185.26|698.3925
787|464.68|698.3925
787|466.01|698.3925
787|1677.62|698.3925
969|130.09|707.4775
969|279.79|707.4775
969|928.25|707.4775
969|1491.78|707.4775
635|528.55|710.1025
635|533.56|710.1025
635|550.39|710.1025
635|1227.91|710.1025
490|619.55|716.535
490|643.37|716.535
490|947.68|716.535
953|303.06|716.89
953|419.19|716.89
953|1064.20|716.89
953|1081.11|716.89
348|267.44|744.955
348|442.13|744.955
348|946.52|744.955
348|1323.73|744.955
618|188.84|749.1975
618|626.53|749.1975
618|1501.33|749.1975
730|386.90|769.3725
730|428.58|769.3725
730|1450.70|769.3725
611|452.15|774.7225
611|539.84|774.7225
611|655.44|774.7225
611|1451.46|774.7225
518|343.06|782.3625
518|566.72|782.3625
518|651.28|782.3625
518|1568.39|782.3625
267|490.60|785.1175
267|622.36|785.1175
267|1189.79|785.1175
294|390.70|785.43
294|517.57|785.43
294|563.70|785.43
294|1669.75|785.43
792|437.83|788.4275
792|608.96|788.4275
792|1295.04|788.4275
101|243.63|800.635
101|481.64|800.635
101|903.04|800.635
101|1574.23|800.635
798|345.36|805.055
798|491.71|805.055
798|1553.10|805.055
369|462.15|810.5825
369|680.81|810.5825
369|912.06|810.5825
369|1187.31|810.5825
657|559.12|811.025
657|679.17|811.025
657|685.14|811.025
657|1320.67|811.025
28|450.19|817.985
28|614.66|817.985
28|1451.66|817.985
424|249.48|818.695
424|496.86|818.695
424|1091.87|818.695
424|1436.57|818.695
405|356.21|823.72
405|492.23|823.72
405|1616.75|823.72
56|287.98|827.6375
56|496.71|827.6375
56|1010.98|827.6375
56|1514.88|827.6375
510|268.39|828.12
510|429.41|828.12
510|1153.31|828.12
510|1461.37|828.12
819|306.01|829.5775
819|649.76|829.5775
819|705.99|829.5775
819|1656.55|829.5775
30|397.53|830.0525
30|657.96|830.0525
30|940.60|830.0525
30|1324.12|830.0525
531|462.17|831.285
531|537.94|831.285
531|1518.34|831.285
253|406.62|833.0775
253|641.40|833.0775
253|1096.63|833.0775
253|1187.66|833.0775
615|361.87|833.9975
615|394.72|833.9975
