brand_id|brand|ext_price
4001001|amalgedu pack #1|717964.49
5003001|exportischolar #1|700880.99
5002001|importoscholar #1|669730.25
5001001|amalgscholar #1|632709.12
3003001|exportiexporti #1|632609.62
2003001|exportiimporto #1|620647.19
1001001|amalgamalg #1|592319.27
3001001|amalgexporti #1|584482.92
4003001|exportiedu pack #1|561451.64
4004001|edu packedu pack #1|530860.76
2002001|importoimporto #1|510630.21
4002001|importoedu pack #1|504385.76
2004001|edu packimporto #1|481810.38
3004001|edu packexporti #1|455781.78
1003001|exportiamalg #1|451440.83
2001001|amalgimporto #1|438541.47
5003002|exportischolar #2|428601.31
1002001|importoamalg #1|428197.07
5004001|edu packscholar #1|359378.46
1004001|edu packamalg #1|304353.64
4003002|exportiedu pack #2|303500.29
4001002|amalgedu pack #2|296530.40
3002001|importoexporti #1|290636.02
5001002|amalgscholar #2|279984.26
2004002|edu packimporto #2|268323.06
5002002|importoscholar #2|267400.08
1002002|importoamalg #2|257112.24
1004002|edu packamalg #2|246681.09
2001002|amalgimporto #2|234642.29
1001002|amalgamalg #2|225577.75
3002002|importoexporti #2|224212.88
4002002|importoedu pack #2|208986.39
1003002|exportiamalg #2|203874.01
3004002|edu packexporti #2|198689.34
3001002|amalgexporti #2|196210.40
2003002|exportiimporto #2|191886.73
5004002|edu packscholar #2|181228.99
4004002|edu packedu pack #2|178419.93
9001003|amalgmaxi #3|154122.07
9016003|corpunivamalg #3|151957.11
10011004|amalgamalgamalg #4|149435.91
8003003|exportinameless #3|133983.89
2002002|importoimporto #2|132115.91
8009007|maxinameless #7|127005.70
7016008|corpnameless #8|123138.66
3003002|exportiexporti #2|120251.87
6011001|amalgbrand #1|108471.87
10013006|exportiamalgamalg #6|101292.01
10006003|corpunivamalg #3|101226.24
10008009|namelessunivamalg #9|98860.76
8009001|maxinameless #1|92396.69
6015003|scholarbrand #3|91418.35
7011008|amalgnameless #8|89428.50
7006009|corpbrand #9|87946.81
9005003|scholarmaxi #3|87701.80
7003010|exportibrand #10|87366.61
8007008|brandnameless #8|86189.29
9010011|univunivamalg #11|86104.24
10003016|exportiunivamalg #16|85794.73
8008005|namelessnameless #5|85738.16
9005011|scholarmaxi #11|83157.66
10014016|edu packamalgamalg #16|82531.98
7003005|exportibrand #5|82083.19
10016003|corpamalgamalg #3|81726.98
10004001|edu packunivamalg #1|81194.02
8011009|amalgmaxi #9|79633.86
9002003|importomaxi #3|79022.84
9007002|brandmaxi #2|78766.38
9008011|namelessmaxi #11|78585.51
9016009|corpunivamalg #9|77855.99
6005003|scholarcorp #3|77523.43
8006008|corpnameless #8|76548.83
6001001|amalgcorp #1|76283.08
6003004|exporticorp #4|75206.79
10012010|importoamalgamalg #10|75158.85
6003003|exporticorp #3|74295.13
8013002|exportimaxi #2|72623.87
6013005|exportibrand #5|72495.60
7009005|maxibrand #5|72489.17
10016011|corpamalgamalg #11|72024.50
9005002|scholarmaxi #2|69973.63
8004004|edu packnameless #4|69145.37
9014005|edu packunivamalg #5|69141.46
6014007|edu packbrand #7|67012.69
8009003|maxinameless #3|66846.07
6015002|scholarbrand #2|66170.80
7016007|corpnameless #7|65590.28
10014014|edu packamalgamalg #14|65571.39
9013011|exportiunivamalg #11|64855.85
7014008|edu packnameless #8|64737.39
9015009|scholarunivamalg #9|64633.16
9002009|importomaxi #9|64358.77
10004009|edu packunivamalg #9|63734.72
9008008|namelessmaxi #8|63581.87
9014008|edu packunivamalg #8|63548.78
10009006|maxiunivamalg #6|63321.49
9008003|namelessmaxi #3|63191.44
6014001|edu packbrand #1|63121.04
8013006|exportimaxi #6|61365.28
6007007|brandcorp #7|61095.38
