i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Women|importoamalg #1|Hawaii/Alaska_1|1999|3|17168.283333333333|6214.48|8913.74|9673.36
Shoes|amalgedu pack #1|California_1|1999|2|17177.408333333333|6944.71|12044.81|9892.87
Men|edu packimporto #1|Hawaii/Alaska_1|1999|2|17210.52666666667|7031.23|10325.61|8467.92
Music|edu packscholar #1|Mid Atlantic|1999|2|17667.095|7514.06|11034.28|11159.76
Music|edu packscholar #1|Hawaii/Alaska_1|1999|7|18206.079166666666|8106.11|11367.09|22772.14
Women|edu packamalg #1|Hawaii/Alaska_1|1999|4|16019.571666666667|6108.90|9534.44|10068.39
Women|importoamalg #1|Hawaii/Alaska|1999|6|16860.173333333332|6994.56|11453.15|8718.26
Shoes|amalgedu pack #1|Hawaii/Alaska|1999|2|17708.096666666668|7961.88|10402.21|9447.59
Shoes|exportiedu pack #1|Mid Atlantic|1999|2|17857.970833333333|8136.01|9697.98|10739.03
Children|importoexporti #1|California_1|1999|2|17065.9275|7399.68|9697.74|11284.66
Men|edu packimporto #1|Mid Atlantic|1999|2|17238.09833333333|7675.73|9776.87|8761.06
Women|importoamalg #1|NY Metro|1999|2|17045.306666666667|7498.88|9654.30|10383.80
Music|importoscholar #1|NY Metro|1999|2|17084.6025|7552.04|10874.45|8423.38
Women|amalgamalg #1|North Midwest|1999|2|16755.6975|7260.21|9553.93|8163.11
Music|edu packscholar #1|NY Metro|1999|2|17732.235833333332|8244.63|11527.11|12496.84
Women|exportiamalg #1|North Midwest_1|1999|3|16426.2025|6978.28|7521.91|9105.23
Children|importoexporti #1|North Midwest|1999|2|16719.414166666666|7294.94|10517.28|8709.20
Music|edu packscholar #1|Hawaii/Alaska|1999|7|17493.505|8072.20|10951.21|22195.22
Music|edu packscholar #1|North Midwest|1999|4|17856.795833333334|8447.91|9838.23|9632.35
Music|edu packscholar #1|North Midwest_1|1999|2|17555.231666666667|8146.43|10291.91|10327.20
Shoes|edu packedu pack #1|Hawaii/Alaska_1|1999|3|16057.618333333334|6651.32|7699.89|9939.76
Shoes|amalgedu pack #1|North Midwest_1|1999|3|17059.294166666667|7657.08|8560.97|10125.99
Shoes|edu packedu pack #1|California|1999|2|17180.28|7800.36|8795.30|9996.12
Men|exportiimporto #1|Hawaii/Alaska_1|1999|5|16217.3025|6856.75|8735.88|12260.04
Shoes|amalgedu pack #1|Pacific Northwest|1999|3|17127.180833333332|7796.96|10885.45|10270.48
Men|amalgimporto #1|Hawaii/Alaska_1|1999|4|16502.66083333333|7179.53|8328.02|7484.45
Men|importoimporto #1|Mid Atlantic_1|1999|3|17378.713333333333|8057.24|10071.07|9208.20
Women|importoamalg #1|Mid Atlantic_1|1999|1|17379.47|8058.65|33847.12|9880.81
Women|importoamalg #1|Pacific Northwest_1|1999|3|17598.121666666666|8278.81|10111.66|10569.50
Women|amalgamalg #1|Hawaii/Alaska|1999|6|16948.97|7640.09|11127.83|9857.51
Children|importoexporti #1|North Midwest_1|1999|3|17168.346666666668|7862.95|9968.25|9748.17
