w_substr|sm_type|web_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
NULL|EXPRESS|site_0|1008|1016|1015|1058|0
NULL|EXPRESS|site_1|1021|1052|1046|1063|0
NULL|EXPRESS|site_2|1005|1042|963|1040|0
NULL|EXPRESS|site_3|984|997|943|1009|0
NULL|EXPRESS|site_4|1021|1009|989|1043|0
NULL|EXPRESS|site_5|1050|979|1054|1058|0
NULL|EXPRESS|site_6|1047|1023|1098|1133|0
NULL|LIBRARY|site_0|787|777|738|799|0
NULL|LIBRARY|site_1|812|741|787|785|0
NULL|LIBRARY|site_2|741|754|760|759|0
NULL|LIBRARY|site_3|754|768|748|768|0
NULL|LIBRARY|site_4|741|757|751|732|0
NULL|LIBRARY|site_5|758|827|778|776|0
NULL|LIBRARY|site_6|833|731|797|774|0
NULL|NEXT DAY|site_0|1045|1038|1030|1095|0
NULL|NEXT DAY|site_1|1041|1019|1021|1065|0
NULL|NEXT DAY|site_2|1045|1015|1086|974|0
NULL|NEXT DAY|site_3|977|1032|1023|1084|0
NULL|NEXT DAY|site_4|1038|1055|957|1014|0
NULL|NEXT DAY|site_5|1039|1001|985|1036|0
NULL|NEXT DAY|site_6|996|1028|989|1053|0
NULL|OVERNIGHT|site_0|783|707|765|797|0
NULL|OVERNIGHT|site_1|794|801|757|749|0
NULL|OVERNIGHT|site_2|783|758|778|789|0
NULL|OVERNIGHT|site_3|764|782|753|792|0
NULL|OVERNIGHT|site_4|722|796|778|762|0
NULL|OVERNIGHT|site_5|812|791|787|795|0
NULL|OVERNIGHT|site_6|714|784|788|743|0
NULL|REGULAR|site_0|797|779|737|762|0
NULL|REGULAR|site_1|821|777|795|800|0
NULL|REGULAR|site_2|815|785|745|752|0
NULL|REGULAR|site_3|773|757|763|818|0
NULL|REGULAR|site_4|776|766|726|793|0
NULL|REGULAR|site_5|784|813|760|810|0
NULL|REGULAR|site_6|816|780|718|715|0
NULL|TWO DAY|site_0|735|814|855|776|0
NULL|TWO DAY|site_1|794|787|778|793|0
NULL|TWO DAY|site_2|792|833|774|816|0
NULL|TWO DAY|site_3|800|766|762|774|0
NULL|TWO DAY|site_4|811|740|772|785|0
NULL|TWO DAY|site_5|820|796|767|775|0
NULL|TWO DAY|site_6|760|755|798|761|0
Certainly fede|EXPRESS|site_0|970|1028|991|1049|0
Certainly fede|EXPRESS|site_1|1075|1044|1037|1000|0
Certainly fede|EXPRESS|site_2|1060|1081|1009|1059|0
Certainly fede|EXPRESS|site_3|1019|994|1017|1040|0
Certainly fede|EXPRESS|site_4|1063|1049|1054|1012|0
Certainly fede|EXPRESS|site_5|990|1017|1049|1105|0
Certainly fede|EXPRESS|site_6|991|1012|1049|976|0
