product_name|store_name|store_zip|b_street_number|b_street_name|b_city|b_zip|c_street_number|c_street_name|c_city|c_zip|cs1syear|cs1cnt|s11|s21|s31|s12|s22|s32|syear|cnt
ablebaresebareing|ought|35709|488|First Valley|Greenfield|15038|955|8th Second|Clinton|28222|1999|1|87.22|123.85|0.00|58.25|100.19|0.00|2000|1
ablen stn stbarpri|eing|33604|698|Cherry |Union|28721|997|Railroad |Edgewood|30069|1999|1|63.82|88.70|271.40|61.91|73.67|0.00|2000|1
ableoughtprieseation|cally|36098|25|College Church|Brookville|43524|NULL|1st |Cunningham|NULL|1999|1|27.14|50.20|0.00|87.53|154.92|0.00|2000|1
ableoughtprieseation|ought|53604|860|Davis 4th|Highland Park|16534|193|Lakeview Broadway|Shady Grove|82812|1999|1|91.19|180.55|0.00|44.90|78.57|0.00|2000|1
antiantiantioughtpri|ese|36098|198|Meadow |Forest Hills|29237|416|Fourth |Riverview|09603|1999|1|66.88|109.68|0.00|41.76|43.43|0.00|2000|1
antiantiantioughtpri|ese|36098|198|Meadow |Forest Hills|29237|416|Fourth |Riverview|09603|1999|1|66.88|109.68|0.00|84.86|146.80|0.00|2000|1
antiantiantioughtpri|ese|36098|978|2nd |Glenwood|53511|624|Meadow |Centerville|70059|1999|1|74.85|130.23|0.00|41.76|43.43|0.00|2000|1
antiantiantioughtpri|ese|36098|978|2nd |Glenwood|53511|624|Meadow |Centerville|70059|1999|1|74.85|130.23|0.00|84.86|146.80|0.00|2000|1
antibarationoughtn st|able|38370|123|Hillcrest 10th|Union|38721|714|Fourth Pine|Waterloo|41675|1999|1|7.86|9.74|0.00|73.72|100.25|0.00|2000|1
antioughtn stableeing|cally|31904|465|Sixth 3rd|Woodland Park|31934|547|14th Laurel|Mount Pleasant|22739|1999|1|89.02|129.96|0.00|16.42|16.91|0.00|2000|1
antioughtn stableeing|cally|31904|465|Sixth 3rd|Woodland Park|31934|547|14th Laurel|Mount Pleasant|22739|1999|1|89.02|129.96|0.00|65.85|121.16|0.00|2000|1
barableesecallyable|able|38370|504|Main Lake|Bridgeport|35817|323|Green Forest|Lincoln|61289|1999|1|8.98|14.00|0.00|28.02|42.59|0.00|2000|1
barableesecallyable|bar|56098|409|Jackson |Whispering Pines|47609|304|Fourth |Pine Grove|84593|1999|1|40.05|65.68|0.00|3.08|3.38|13.84|2000|1
barableesecallyable|bar|56098|409|Jackson |Whispering Pines|47609|304|Fourth |Pine Grove|84593|1999|1|40.05|65.68|0.00|13.53|27.06|0.00|2000|1
bareingantiationpri|bar|33604|714|View Wilson|Pleasant Hill|33604|896|Jackson |Union|09321|1999|1|48.90|68.94|0.00|68.94|100.65|4302.69|2000|1
callypriantiantiation|ation|38370|443|Dogwood |Centerville|60059|870|Oak Center|Mount Vernon|29127|1999|1|20.88|39.88|0.00|86.43|171.99|0.00|2000|1
callypriantiantiation|ation|38370|639|Elevnth |Franklin|19101|843|Smith |Pleasant Valley|82477|1999|1|90.10|147.76|0.00|86.43|171.99|0.00|2000|1
callypriationesen st|anti|36098|614|Hill |Jamestown|56867|490|2nd |Deerfield|69840|1999|1|14.16|18.83|0.00|23.29|27.01|0.00|2000|1
callypriationesen st|anti|36098|614|Hill |Jamestown|56867|490|2nd |Deerfield|69840|1999|1|14.16|18.83|0.00|44.29|57.13|0.00|2000|1
eingbareingeingeing|bar|38370|567|Sycamore Tenth|Oak Hill|57838|169|Johnson |Little River|40319|1999|1|15.70|24.17|0.00|46.10|61.77|2723.17|2000|1
eingbareingeingeing|eing|55709|76|Franklin |Union|68721|143|Walnut Cherry|Johnsonville|67745|1999|1|34.76|69.52|2783.92|86.81|154.52|0.00|2000|1
n stablen steingcally|able|38370|529|Forest Davis|Silver Springs|74843|888|Woodland |Oakdale|29584|1999|1|77.99|116.98|0.00|19.05|35.43|0.00|2000|1
n stablen steingcally|able|38370|529|Forest Davis|Silver Springs|74843|888|Woodland |Oakdale|29584|1999|1|77.99|116.98|0.00|94.73|136.41|0.00|2000|1
prioughtoughteingcally|cally|35709|628|Second |Springfield|49303|337|Chestnut |Harmony|55804|1999|1|18.39|22.98|0.00|1.65|2.21|0.00|2000|1
prioughtoughteingcally|cally|35709|628|Second |Springfield|49303|337|Chestnut |Harmony|55804|1999|1|18.39|22.98|0.00|22.56|34.51|0.00|2000|1
prioughtoughteingcally|ese|36098|949|Adams Center|Avery|30194|16|Mill |Pleasant Grove|74136|1999|1|41.92|57.43|0.00|76.63|88.12|0.00|2000|1
prioughtoughteingcally|ese|36098|949|Adams Center|Avery|30194|16|Mill |Pleasant Grove|74136|1999|1|41.92|57.43|0.00|99.70|190.42|4044.09|2000|1
prioughtoughteingcally|pri|53604|951|Birch |Five Points|46098|264|Green |Harmony|55804|1999|1|19.57|26.22|0.00|14.03|17.39|0.00|2000|1
