s_store_name|i_item_desc|revenue|i_current_price|i_wholesale_cost|i_brand
able|NULL|2.46|NULL|1.51|brandnameless #9
able|NULL|2.79|NULL|63.77|NULL
able|NULL|4.91|7.89|NULL|NULL
able|NULL|8.25|NULL|3.13|amalgscholar #1
able|NULL|8.13|NULL|NULL|NULL
able|NULL|0.89|6.72|2.35|exportiamalg #1
able|NULL|4.90|NULL|63.77|NULL
able|NULL|0.76|NULL|1.74|amalgbrand #7
able|NULL|2.80|NULL|4.17|amalgedu pack #1
able|NULL|5.19|NULL|4.30|exportiimporto #2
able|NULL|1.72|7.94|NULL|univamalgamalg #1
able|NULL|3.62|5.06|3.39|edu packexporti #1
able|NULL|2.20|6.89|NULL|exportiimporto #1
able|NULL|4.46|NULL|NULL|exportinameless #7
able|NULL|6.61|NULL|3.86|importomaxi #4
able|NULL|6.22|NULL|4.14|importoimporto #2
able|NULL|3.30|NULL|0.12|namelessmaxi #3
able|NULL|3.23|6.62|3.04|edu packamalg #1
able|NULL|1.62|NULL|8.83|brandmaxi #2
able|NULL|6.32|9.17|6.78|corpunivamalg #4
able|NULL|3.61|1.24|NULL|NULL
able|NULL|3.77|NULL|1.51|brandnameless #9
able|NULL|4.35|2.21|1.45|importoexporti #1
able|NULL|0.78|4.59|NULL|NULL
able|NULL|8.13|NULL|NULL|corpunivamalg #4
able|NULL|0.00|NULL|NULL|corpunivamalg #2
able|NULL|2.48|4.09|NULL|NULL
able|NULL|7.10|3.30|NULL|NULL
able|NULL|7.89|3.77|NULL|scholarcorp #4
able|NULL|5.98|NULL|0.25|amalgscholar #1
able|NULL|1.09|NULL|NULL|amalgunivamalg #5
able|NULL|0.72|NULL|3.38|importobrand #2
able|NULL|3.84|1.61|1.27|NULL
able|NULL|5.97|NULL|0.33|corpunivamalg #3
able|NULL|8.03|1.24|NULL|NULL
able|NULL|8.41|9.62|7.21|amalgcorp #1
able|NULL|2.66|NULL|NULL|namelessnameless #3
able|NULL|1.09|14.70|12.20|importoedu pack #1
able|NULL|6.21|4.38|NULL|NULL
able|NULL|0.00|4.05|NULL|amalgexporti #1
able|NULL|3.38|0.26|NULL|amalgbrand #8
able|NULL|0.00|NULL|28.31|edu packcorp #1
able|NULL|1.87|3.77|NULL|scholarcorp #4
able|NULL|0.76|NULL|3.13|amalgscholar #1
able|NULL|2.63|NULL|2.34|NULL
able|NULL|6.19|NULL|NULL|corpunivamalg #2
able|NULL|6.12|7.19|3.73|importomaxi #7
able|NULL|4.19|NULL|NULL|importoamalg #1
able|NULL|4.21|NULL|NULL|NULL
able|NULL|7.00|4.09|NULL|NULL
able|NULL|6.28|NULL|0.63|edu packscholar #2
able|NULL|1.66|NULL|3.15|scholarbrand #8
able|NULL|1.00|NULL|NULL|scholarmaxi #9
able|NULL|1.90|NULL|0.12|NULL
able|NULL|7.86|NULL|4.13|NULL
able|NULL|3.90|4.43|NULL|exportiimporto #2
able|NULL|0.25|NULL|2.25|scholarunivamalg #2
able|NULL|0.00|NULL|0.71|NULL
able|NULL|7.35|0.57|0.45|edu packamalg #2
able|NULL|0.15|NULL|NULL|NULL
able|NULL|3.36|NULL|NULL|scholarmaxi #9
able|NULL|6.58|NULL|8.83|brandmaxi #2
able|NULL|0.28|NULL|NULL|univamalgamalg #12
able|NULL|7.47|NULL|0.12|NULL
able|NULL|4.95|NULL|NULL|NULL
able|NULL|8.05|NULL|NULL|univamalgamalg #12
able|NULL|0.95|NULL|NULL|exporticorp #3
able|NULL|4.50|NULL|4.14|importoimporto #2
able|NULL|3.03|7.19|3.73|importomaxi #7
able|NULL|2.15|NULL|NULL|NULL
able|NULL|8.12|4.38|NULL|NULL
able|NULL|5.31|NULL|NULL|amalgmaxi #6
able|NULL|7.17|NULL|0.33|corpunivamalg #3
able|NULL|0.46|0.78|NULL|NULL
able|A|5.28|1.07|0.87|amalgmaxi #3
able|A|4.15|3.50|1.26|edu packedu pack #1
able|A|5.51|6.64|2.19|maxinameless #7
able|A|8.62|2.19|0.72|brandbrand #9
