w_warehouse_name|w_warehouse_sq_ft|w_city|w_county|w_state|w_country|ship_carriers|year_|jan_sales|feb_sales|mar_sales|apr_sales|may_sales|jun_sales|jul_sales|aug_sales|sep_sales|oct_sales|nov_sales|dec_sales|jan_sales_per_sq_foot|feb_sales_per_sq_foot|mar_sales_per_sq_foot|apr_sales_per_sq_foot|may_sales_per_sq_foot|jun_sales_per_sq_foot|jul_sales_per_sq_foot|aug_sales_per_sq_foot|sep_sales_per_sq_foot|oct_sales_per_sq_foot|nov_sales_per_sq_foot|dec_sales_per_sq_foot|jan_net|feb_net|mar_net|apr_net|may_net|jun_net|jul_net|aug_net|sep_net|oct_net|nov_net|dec_net
NULL|NULL|Riverside|Walker County|AL|United States|DHL,BARIAN|2001|46772799.27|44705856.77|40664424.52|43431843.12|38739528.11|41634600.61|44063307.68|102870536.54|105918519.51|117258073.21|156951727.87|171927453.81|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|131518149.45|111438796.19|117722436.01|123929052.83|123487311.19|120537928.11|131510081.23|296916679.74|289797519.28|301774676.58|408012762.99|458435130.33
Certainly fede|662475|Pleasant Hill|Ziebach County|SD|United States|DHL,BARIAN|2001|49497795.05|40789752.27|49187920.19|39816414.85|44651618.99|41353211.01|49146128.97|112841081.88|90368093.76|118636881.90|156179074.82|154259990.60|74.71647239518472|61.57176085135288|74.24871910638137|60.10251684969245|67.40121361560814|62.42229670553606|74.18563563908072|170.33258897316878|136.4098173666931|179.0812965017548|235.75089598852787|232.85405577568966|125094500.19|107990089.96|133102045.23|119416619.53|141728126.09|120558011.99|139296676.15|285332598.76|262025418.60|287960724.56|419138449.48|423225870.48
Conventional childr|977787|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|44817165.70|45100560.22|48642026.55|48847691.01|50159508.96|40846119.90|50104009.91|122165110.71|104847493.56|121005865.39|169014776.32|174940352.33|45.83530533746102|46.12513790835836|49.74705794820345|49.957394616618956|51.29901395702745|41.77404680160403|51.24225410033064|124.94041208361331|107.22937977289533|123.75483146124871|172.8543909051767|178.9145819386022|128772119.03|111700203.18|114478227.73|133790472.40|122059134.71|115044994.44|128733210.96|296344143.94|283108808.85|295542990.28|421843662.26|463414137.31
Historic, us|514427|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|52744344.50|43911135.23|49010450.69|56128346.24|40594239.92|40121287.12|46676522.25|110626658.69|103235005.53|115919519.55|137204949.03|180779842.82|102.53028029244187|85.3593128471095|95.27192524886912|109.10847649909512|78.91156552824793|77.99218765733524|90.7349774603588|215.04831334669447|200.6796018288309|225.3371606661392|266.7141285935614|351.41981820549853|144609430.53|121567591.84|136162946.30|120895579.29|116618461.53|113012347.69|136360468.91|296309916.56|280823503.66|294554497.97|408971869.45|456770144.27
Issues live th|914242|Pleasant Hill|Ziebach County|SD|United States|DHL,BARIAN|2001|47436839.18|47925244.87|45512506.19|55680496.19|51381804.56|40045802.37|50290802.64|97217603.35|98599674.74|105495719.77|150119202.74|182592733.56|51.88652367753833|52.42074294333448|49.781683832070726|60.90345465423815|56.20153587343394|43.80219063442721|55.008195466845756|106.3368378941243|107.848550755708|115.39146065264997|164.20072884422288|199.7203514605542|127997588.10|113443626.22|130048881.95|139557674.70|142242554.75|118306360.88|131640609.66|278378562.60|292921457.67|290080034.64|382509271.04|450187274.35
New, possib|73065|Oak Grove|Ziebach County|SD|United States|DHL,BARIAN|2001|56602566.03|42488701.71|37719926.26|53594857.77|50687304.80|47804875.69|42927945.55|105867703.33|108498969.31|115851790.87|146689372.99|161840562.05|774.687826319031|581.5192186409362|516.2516425100937|733.5229969205502|693.7289372476562|654.2787338671046|587.5309046739205|1448.952348319989|1484.9650216930131|1585.598999110381|2007.6558268664887|2215.02172107028|138401513.63|119330293.01|112520556.82|130767365.90|126111398.51|136628498.58|120719917.29|293966961.21|285271401.22|299885469.36|414213854.97|416474290.80
Of course ot|138504|Fairview|Walker County|AL|United States|DHL,BARIAN|2001|50993626.48|53384804.22|43592988.60|50909087.70|36538505.40|45952261.04|49650670.56|99886718.97|110703559.81|123023733.46|143258692.48|174166482.82|368.174395540923|385.43871815976433|314.7417302027378|367.56402486570784|263.808304453301|331.7756962975799|358.47824293883207|721.182918688269|799.2805970224686|888.2323504014325|1034.3289181539885|1257.483414341824|147398837.20|136924953.36|113689166.88|136590186.58|98168369.01|109053847.71|134611968.71|273407268.65|305023454.81|286873110.98|404295206.09|464953218.56
Social, royal laws m|294242|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|44838161.19|50159699.43|47919968.16|47961875.87|48013433.75|57662670.43|61816934.40|117652575.63|105777650.70|107600583.44|155631325.20|165394052.33|152.3853195329015|170.47090296422672|162.85903494402564|163.00146094031444|163.17668364815356|195.97022325160924|210.0887514358929|399.84970068854886|359.49201915430154|365.6873710755093|528.9228770875674|562.1021211451798|136126272.77|125674027.80|112171270.00|130612684.06|128621258.49|130987118.81|153324230.00|294938641.14|257534652.49|279727614.25|418877206.78|427188377.09
Terms overcome instr|621234|Fairview|Ziebach County|SD|United States|DHL,BARIAN|2001|55532506.95|47176747.43|52496265.25|51589621.99|54219841.55|51213097.88|52084798.90|110753825.04|113739186.75|111695697.18|155509591.98|172469688.50|89.3906433807551|75.94038225531764|84.50320692363908|83.04378380771176|87.27764666776126|82.43769317197707|83.84086978497636|178.28036623880857|183.0859012063087|179.7964972619013|250.3236976405026|277.62435491296355|160535127.27|131551451.26|132935289.81|138209736.43|145415697.87|144118780.44|125717810.88|309710506.13|298195641.35|287158435.82|415002328.99|445095062.18
Well local pr|838797|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|48685027.53|49448635.96|38575891.57|43931670.25|51234290.40|42968173.88|51902293.12|104337372.61|95325516.10|103141446.28|171023292.89|157911767.68|58.04148981219532|58.9518512345657|45.98954403747272|52.37461537177649|61.08067911544748|51.22595083196531|61.87706098138167|124.38930111814896|113.64551387284409|122.96353739939461|203.89115947005055|188.25981456776785|146330771.41|121169274.86|119043263.56|116044665.01|119887320.39|119223443.73|116912505.04|264607437.46|277135400.12|280232324.14|452659673.19|427456413.30
