i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2489038.86|5
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|5430136.27|4
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|11905480.97|3
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|24384295.02|2
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|10124097929.84|1
NULL|NULL|NULL|NULL|2000|NULL|NULL|NULL|2489038.86|5
NULL|NULL|NULL|NULL|2000|1|NULL|NULL|333449.58|36
NULL|NULL|NULL|NULL|2000|2|NULL|NULL|348368.19|34
NULL|NULL|NULL|NULL|2000|3|NULL|NULL|640270.91|9
NULL|NULL|NULL|NULL|2000|3|8|NULL|320552.64|38
NULL|NULL|NULL|NULL|2000|3|9|NULL|234530.07|80
NULL|NULL|NULL|NULL|2000|4|NULL|NULL|1166950.18|7
NULL|NULL|NULL|NULL|2000|4|10|NULL|345915.83|35
NULL|NULL|NULL|NULL|2000|4|11|NULL|330916.14|37
NULL|NULL|NULL|NULL|2000|4|12|NULL|490118.21|14
NULL|NULL|NULL|antiablecallyationanti|NULL|NULL|NULL|NULL|238607.41|75
NULL|NULL|NULL|antiablecallyationanti|2000|NULL|NULL|NULL|238607.41|75
NULL|NULL|NULL|antiationeinganti|NULL|NULL|NULL|NULL|230369.03|84
NULL|NULL|NULL|antiationeinganti|2000|NULL|NULL|NULL|230369.03|84
NULL|NULL|NULL|barationableeing|NULL|NULL|NULL|NULL|256756.58|49
NULL|NULL|NULL|barationableeing|2000|NULL|NULL|NULL|256756.58|49
NULL|NULL|NULL|eseablen stprieing|NULL|NULL|NULL|NULL|263054.49|47
NULL|NULL|NULL|eseablen stprieing|2000|NULL|NULL|NULL|263054.49|47
NULL|NULL|amalgimporto #2|NULL|NULL|NULL|NULL|NULL|385627.19|26
NULL|NULL|amalgscholar #2|NULL|NULL|NULL|NULL|NULL|264106.08|44
NULL|NULL|amalgscholar #2|NULL|NULL|NULL|NULL|NULL|264106.08|44
NULL|NULL|amalgscholar #2|NULL|2000|NULL|NULL|NULL|264106.08|44
NULL|NULL|corpunivamalg #3|NULL|NULL|NULL|NULL|NULL|242531.44|70
NULL|NULL|corpunivamalg #3|eseantin stationought|NULL|NULL|NULL|NULL|242531.44|70
NULL|NULL|corpunivamalg #3|eseantin stationought|2000|NULL|NULL|NULL|242531.44|70
NULL|NULL|exportischolar #2|NULL|NULL|NULL|NULL|NULL|243676.62|67
NULL|NULL|exportischolar #2|prieingeseought|NULL|NULL|NULL|NULL|243676.62|67
NULL|NULL|exportischolar #2|prieingeseought|2000|NULL|NULL|NULL|243676.62|67
NULL|NULL|importoamalg #2|NULL|NULL|NULL|NULL|NULL|223277.87|94
NULL|NULL|importoamalg #2|n stoughtprieingought|NULL|NULL|NULL|NULL|223277.87|94
NULL|NULL|importoamalg #2|n stoughtprieingought|2000|NULL|NULL|NULL|223277.87|94
NULL|NULL|importoedu pack #1|NULL|NULL|NULL|NULL|NULL|249622.70|55
NULL|NULL|importoedu pack #1|NULL|NULL|NULL|NULL|NULL|249622.70|55
NULL|NULL|importoedu pack #1|NULL|2000|NULL|NULL|NULL|249622.70|55
NULL|NULL|importonameless #2|NULL|NULL|NULL|NULL|NULL|243992.35|64
NULL|NULL|importonameless #2|oughtcallyablen stanti|NULL|NULL|NULL|NULL|243992.35|64
NULL|NULL|importonameless #2|oughtcallyablen stanti|2000|NULL|NULL|NULL|243992.35|64
NULL|athletic|NULL|NULL|NULL|NULL|NULL|NULL|310461.48|39
NULL|athletic|NULL|NULL|NULL|NULL|NULL|NULL|495315.57|13
NULL|baseball|NULL|NULL|NULL|NULL|NULL|NULL|409234.18|23
NULL|classical|NULL|NULL|NULL|NULL|NULL|NULL|244685.27|60
NULL|classical|edu packscholar #2|NULL|NULL|NULL|NULL|NULL|244685.27|60
NULL|classical|edu packscholar #2|n stbarbarn station|NULL|NULL|NULL|NULL|244685.27|60
NULL|classical|edu packscholar #2|n stbarbarn station|2000|NULL|NULL|NULL|244685.27|60
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|373146.83|28
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|576809.96|11
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|579462.72|10
NULL|dresses|NULL|NULL|2000|NULL|NULL|NULL|373146.83|28
NULL|fragrances|NULL|NULL|NULL|NULL|NULL|NULL|574981.98|12
NULL|loose stones|NULL|NULL|NULL|NULL|NULL|NULL|413952.97|21
NULL|maternity|NULL|NULL|NULL|NULL|NULL|NULL|255210.99|51
NULL|maternity|NULL|NULL|NULL|NULL|NULL|NULL|255210.99|51
NULL|maternity|NULL|callyationantiablecally|NULL|NULL|NULL|NULL|255210.99|51
NULL|maternity|NULL|callyationantiablecally|2000|NULL|NULL|NULL|255210.99|51
NULL|memory|NULL|NULL|NULL|NULL|NULL|NULL|409157.58|24
NULL|mens|NULL|NULL|NULL|NULL|NULL|NULL|400489.13|25
NULL|mens|importoedu pack #2|NULL|NULL|NULL|NULL|NULL|238605.83|77
NULL|mens|importoedu pack #2|pricallyesen stought|NULL|NULL|NULL|NULL|238605.83|77
NULL|mens|importoedu pack #2|pricallyesen stought|2000|NULL|NULL|NULL|238605.83|77
NULL|pants|NULL|NULL|NULL|NULL|NULL|NULL|475308.03|15
NULL|pants|exportiimporto #2|NULL|NULL|NULL|NULL|NULL|225853.11|92
NULL|pants|exportiimporto #2|NULL|NULL|NULL|NULL|NULL|475308.03|15
NULL|pants|exportiimporto #2|NULL|2000|NULL|NULL|NULL|225853.11|92
NULL|pants|exportiimporto #2|antibarableableought|NULL|NULL|NULL|NULL|249454.92|58
NULL|pants|exportiimporto #2|antibarableableought|2000|NULL|NULL|NULL|249454.92|58
NULL|rugs|NULL|NULL|NULL|NULL|NULL|NULL|276567.68|40
NULL|rugs|NULL|NULL|NULL|NULL|NULL|NULL|276567.68|40
NULL|rugs|NULL|prin stbarationcally|NULL|NULL|NULL|NULL|276567.68|40
NULL|rugs|NULL|prin stbarationcally|2000|NULL|NULL|NULL|276567.68|40
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|355581.85|30
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|355581.85|30
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|355581.85|30
NULL|shirts|NULL|NULL|2000|NULL|NULL|NULL|355581.85|30
NULL|sports-apparel|NULL|NULL|NULL|NULL|NULL|NULL|374139.75|27
NULL|swimwear|NULL|NULL|NULL|NULL|NULL|NULL|421629.16|20
NULL|swimwear|NULL|NULL|NULL|NULL|NULL|NULL|1035361.09|8
NULL|swimwear|NULL|bareseablebaranti|NULL|NULL|NULL|NULL|241810.06|73
NULL|swimwear|NULL|bareseablebaranti|2000|NULL|NULL|NULL|241810.06|73
NULL|swimwear|edu packamalg #1|NULL|NULL|NULL|NULL|NULL|410873.63|22
NULL|tables|NULL|NULL|NULL|NULL|NULL|NULL|221747.39|100
NULL|tables|scholarnameless #3|NULL|NULL|NULL|NULL|NULL|221747.39|100
NULL|tables|scholarnameless #3|ableoughtpribareing|NULL|NULL|NULL|NULL|221747.39|100
NULL|tables|scholarnameless #3|ableoughtpribareing|2000|NULL|NULL|NULL|221747.39|100
NULL|toddlers|NULL|NULL|NULL|NULL|NULL|NULL|435648.63|18
NULL|toddlers|exportiexporti #2|NULL|NULL|NULL|NULL|NULL|435648.63|18
NULL|toddlers|exportiexporti #2|antiableeingantieing|NULL|NULL|NULL|NULL|229842.41|86
NULL|toddlers|exportiexporti #2|antiableeingantieing|2000|NULL|NULL|NULL|229842.41|86
NULL|womens|NULL|NULL|NULL|NULL|NULL|NULL|230830.84|81
NULL|womens|NULL|NULL|NULL|NULL|NULL|NULL|230830.84|81
NULL|womens|NULL|NULL|NULL|NULL|NULL|NULL|453712.53|17
NULL|womens|NULL|NULL|2000|NULL|NULL|NULL|230830.84|81
NULL|womens|amalgedu pack #2|NULL|NULL|NULL|NULL|NULL|222881.69|97
NULL|womens|amalgedu pack #2|NULL|NULL|NULL|NULL|NULL|222881.69|97
NULL|womens|amalgedu pack #2|NULL|2000|NULL|NULL|NULL|222881.69|97
NULL|womens watch|NULL|NULL|NULL|NULL|NULL|NULL|228908.74|88
