brand_id|brand|t_hour|t_minute|ext_price
1002002|"importoamalg #2"|18|18|NULL
1003001|"exportiamalg #1"|9|7|NULL
1003001|"exportiamalg #1"|19|51|NULL
1004001|"edu packamalg #1"|17|34|NULL
1004002|"edu packamalg #2"|19|13|NULL
2001001|"amalgimporto #1"|17|11|NULL
2002001|"importoimporto #1"|18|48|NULL
3001001|"amalgexporti #1"|17|24|NULL
3002001|"importoexporti #1"|8|0|NULL
4003002|"exportiedu pack #2"|9|7|NULL
5001001|"amalgscholar #1"|9|38|NULL
5001001|"amalgscholar #1"|9|8|NULL
5001002|"amalgscholar #2"|9|47|NULL
5001002|"amalgscholar #2"|17|6|NULL
5001002|"amalgscholar #2"|18|51|NULL
5002001|"importoscholar #1"|18|49|NULL
5003002|"exportischolar #2"|9|35|NULL
5003002|"exportischolar #2"|19|24|NULL
5004002|"edu packscholar #2"|8|17|NULL
5004002|"edu packscholar #2"|19|15|NULL
6003003|"exporticorp #3"|9|40|NULL
6005007|"scholarcorp #7"|8|57|NULL
6008002|"namelesscorp #2"|19|5|NULL
6011003|"amalgbrand #3"|8|12|NULL
6011003|"amalgbrand #3"|18|44|NULL
6013006|"exportibrand #6"|9|12|NULL
7002003|"importobrand #3"|17|14|NULL
7002009|"importobrand #9"|9|24|NULL
7003001|"exportibrand #1"|19|36|NULL
7005010|"scholarbrand #10"|18|0|NULL
7009003|"maxibrand #3"|18|57|NULL
7012009|"importonameless #9"|17|48|NULL
7012009|"importonameless #9"|17|21|NULL
7013007|"exportinameless #7"|18|54|NULL
8004003|"edu packnameless #3"|17|38|NULL
8008009|"namelessnameless #9"|18|23|NULL
8009005|"maxinameless #5"|9|20|NULL
8011008|"amalgmaxi #8"|18|3|NULL
8014005|"edu packmaxi #5"|19|25|NULL
8014005|"edu packmaxi #5"|19|0|NULL
9001005|"amalgmaxi #5"|17|47|NULL
9003003|"exportimaxi #3"|9|56|NULL
9004003|"edu packmaxi #3"|8|20|NULL
9004008|"edu packmaxi #8"|9|51|NULL
9006009|"corpmaxi #9"|19|53|NULL
9006011|"corpmaxi #11"|19|19|NULL
9008002|"namelessmaxi #2"|8|15|NULL
9013009|"exportiunivamalg #9"|17|55|NULL
9015011|"scholarunivamalg #11"|8|31|NULL
9015011|"scholarunivamalg #11"|18|8|NULL
10001017|"amalgunivamalg #17"|8|51|NULL
10002007|"importounivamalg #7"|19|51|NULL
10004004|"edu packunivamalg #4"|9|9|NULL
10006017|"corpunivamalg #17"|19|12|NULL
10009006|"maxiunivamalg #6"|9|34|NULL
10009006|"maxiunivamalg #6"|9|6|NULL
10013013|"exportiamalgamalg #13"|9|21|NULL
10015004|"scholaramalgamalg #4"|19|58|NULL
10015017|"scholaramalgamalg #17"|18|53|NULL
10016003|"corpamalgamalg #3"|9|53|NULL
10016003|"corpamalgamalg #3"|17|43|NULL
10016013|"corpamalgamalg #13"|19|55|NULL
1004001|"edu packamalg #1"|17|8|28256.25
8010006|"univmaxi #6"|18|56|24009.44
1003001|"exportiamalg #1"|6|10|23727.96
7011008|"amalgnameless #8"|9|24|21836.80
4002001|"importoedu pack #1"|17|7|21708.30
8005006|"scholarnameless #6"|6|48|21608.64
7006009|"corpbrand #9"|18|21|21492.16
5001002|"amalgscholar #2"|18|47|21462.40
4004001|"edu packedu pack #1"|7|15|20647.62
8006009|"corpnameless #9"|18|39|20279.79
1002001|"importoamalg #1"|8|22|20235.87
5004001|"edu packscholar #1"|17|22|20105.91
1001001|"amalgamalg #1"|19|11|19786.15
4003001|"exportiedu pack #1"|7|21|19595.60
2004002|"edu packimporto #2"|8|54|18966.32
3001001|"amalgexporti #1"|18|0|18930.22
4004001|"edu packedu pack #1"|19|50|18751.60
5001001|"amalgscholar #1"|7|21|18714.64
2002001|"importoimporto #1"|9|49|18712.25
1001002|"amalgamalg #2"|17|1|18316.88
5004001|"edu packscholar #1"|9|56|18159.36
5003001|"exportischolar #1"|17|36|18103.57
9010009|"univunivamalg #9"|9|8|17974.95
1002001|"importoamalg #1"|17|10|17931.26
5003002|"exportischolar #2"|19|32|17726.06
1004002|"edu packamalg #2"|19|25|17577.37
8013004|"exportimaxi #4"|17|10|17432.01
3001001|"amalgexporti #1"|8|18|17393.50
7009005|"maxibrand #5"|6|51|17381.20
2002001|"importoimporto #1"|6|6|17145.60
10004017|"edu packunivamalg #17"|19|34|17141.80
1001001|"amalgamalg #1"|9|22|17133.60
1004002|"edu packamalg #2"|18|32|17107.66
9010009|"univunivamalg #9"|17|32|16973.32
5001001|"amalgscholar #1"|7|36|16904.16
8005001|"scholarnameless #1"|19|33|16882.41
9001005|"amalgmaxi #5"|7|10|16809.18
3002001|"importoexporti #1"|6|24|16777.23
1004001|"edu packamalg #1"|18|33|16776.42
9015009|"scholarunivamalg #9"|7|55|16678.64
4002002|"importoedu pack #2"|19|47|16476.57
7009003|"maxibrand #3"|17|40|16376.58
5003001|"exportischolar #1"|8|37|16273.28
4003001|"exportiedu pack #1"|19|50|16195.05
2002002|"importoimporto #2"|19|40|16162.74
2003001|"exportiimporto #1"|17|41|16144.83
1004001|"edu packamalg #1"|19|44|16139.85
3004001|"edu packexporti #1"|19|20|16093.09
9016008|"corpunivamalg #8"|9|43|16060.00
1003001|"exportiamalg #1"|19|40|16046.91
4004001|"edu packedu pack #1"|17|52|15991.42
1004001|"edu packamalg #1"|18|24|15959.44
6003003|"exporticorp #3"|8|58|15835.11
10003004|"exportiunivamalg #4"|17|6|15642.40
10001017|"amalgunivamalg #17"|19|19|15608.12
3002001|"importoexporti #1"|17|53|15603.40
5002002|"importoscholar #2"|18|25|15420.75
10015009|"scholaramalgamalg #9"|18|52|15408.16
2004001|"edu packimporto #1"|9|6|15369.62
10004015|"edu packunivamalg #15"|9|57|15342.50
3001001|"amalgexporti #1"|17|13|15298.01
1004001|"edu packamalg #1"|18|47|15238.18
4004001|"edu packedu pack #1"|18|58|15075.48
1001001|"amalgamalg #1"|7|33|15062.44
5003001|"exportischolar #1"|8|30|15018.20
10016016|"corpamalgamalg #16"|9|18|14907.24
2001002|"amalgimporto #2"|7|59|14728.80
1004002|"edu packamalg #2"|8|56|14667.20
5004001|"edu packscholar #1"|8|20|14650.90
3003002|"exportiexporti #2"|17|57|14602.54
8003007|"exportinameless #7"|18|19|14532.00
5001002|"amalgscholar #2"|17|11|14491.95
3001001|"amalgexporti #1"|8|39|14477.23
1002001|"importoamalg #1"|19|37|14427.89
3001001|"amalgexporti #1"|19|45|14407.47
5001001|"amalgscholar #1"|18|41|14403.03
3001001|"amalgexporti #1"|19|13|14379.50
7009009|"maxibrand #9"|8|33|14316.00
6007003|"brandcorp #3"|19|0|14297.36
1004002|"edu packamalg #2"|17|22|14283.10
4001001|"amalgedu pack #1"|19|26|14280.48
3002002|"importoexporti #2"|17|19|14262.80
3001001|"amalgexporti #1"|18|53|14176.36
2004002|"edu packimporto #2"|17|35|14112.96
3004001|"edu packexporti #1"|19|18|14042.07
1004001|"edu packamalg #1"|9|15|13985.58
8012010|"importomaxi #10"|7|36|13982.30
1002001|"importoamalg #1"|17|43|13958.96
6007007|"brandcorp #7"|6|48|13955.58
7013009|"exportinameless #9"|9|28|13908.00
4001001|"amalgedu pack #1"|19|3|13904.24
3004001|"edu packexporti #1"|17|39|13882.95
2001002|"amalgimporto #2"|7|47|13879.75
1001001|"amalgamalg #1"|9|45|13857.16
6006007|"corpcorp #7"|17|24|13845.15
3001001|"amalgexporti #1"|17|21|13839.88
5001001|"amalgscholar #1"|18|49|13824.30
2004002|"edu packimporto #2"|9|5|13782.00
10016009|"corpamalgamalg #9"|8|23|13774.05
2002001|"importoimporto #1"|18|49|13757.15
5004002|"edu packscholar #2"|19|34|13744.52
6001007|"amalgcorp #7"|8|23|13647.69
6009002|"maxicorp #2"|18|19|13617.60
10007002|"brandunivamalg #2"|8|44|13545.00
1003002|"exportiamalg #2"|7|1|13498.74
8014004|"edu packmaxi #4"|19|58|13437.56
5004001|"edu packscholar #1"|19|10|13393.08
8004009|"edu packnameless #9"|17|54|13363.98
9002011|"importomaxi #11"|9|16|13315.25
6002003|"importocorp #3"|18|35|13257.00
5003002|"exportischolar #2"|19|33|13249.71
3002002|"importoexporti #2"|18|13|13217.86
2003002|"exportiimporto #2"|9|10|13208.00
9014008|"edu packunivamalg #8"|19|9|13123.96
10003007|"exportiunivamalg #7"|19|52|13107.12
4003001|"exportiedu pack #1"|17|1|13039.74
6015005|"scholarbrand #5"|18|24|13036.80
2002001|"importoimporto #1"|19|7|13021.04
2001002|"amalgimporto #2"|8|33|13009.92
1002001|"importoamalg #1"|18|0|12986.70
5001001|"amalgscholar #1"|18|21|12954.52
7016001|"corpnameless #1"|19|28|12923.74
2004001|"edu packimporto #1"|9|27|12918.42
9003005|"exportimaxi #5"|18|43|12893.98
10012010|"importoamalgamalg #10"|18|45|12873.93
2001001|"amalgimporto #1"|17|20|12856.05
5004001|"edu packscholar #1"|17|32|12855.93
1004001|"edu packamalg #1"|17|19|12807.27
3002002|"importoexporti #2"|7|44|12783.21
5004002|"edu packscholar #2"|19|32|12770.73
9001008|"amalgmaxi #8"|17|30|12706.71
8011008|"amalgmaxi #8"|7|26|12618.72
8001003|"amalgnameless #3"|9|45|12599.40
3001002|"amalgexporti #2"|17|4|12592.07
5002002|"importoscholar #2"|17|12|12590.92
