prev_year|year_|i_brand_id|i_class_id|i_category_id|i_manufact_id|prev_yr_cnt|curr_yr_cnt|sales_cnt_diff|sales_amt_diff
2001|2002|4002001|2|9|263|19571|9502|-10069|-411456.76
2001|2002|4003001|3|9|21|17312|9145|-8167|-369468.36
2001|2002|3002001|2|9|174|16291|9371|-6920|-317162.33
2001|2002|9010010|1|9|249|11793|7774|-4019|-191191.47
2001|2002|9010004|10|9|293|11809|8443|-3366|-225513.94
2001|2002|9004008|4|9|513|10501|7151|-3350|-144243.20
2001|2002|9007002|7|9|93|10871|7776|-3095|-152977.85
2001|2002|9014008|14|9|418|11266|8209|-3057|-183359.49
2001|2002|9002002|2|9|238|11207|8157|-3050|-150259.76
2001|2002|9013008|13|9|171|10718|7716|-3002|-145095.65
2001|2002|9014002|14|9|231|19223|16224|-2999|-22811.20
2001|2002|9014004|14|9|678|10660|7666|-2994|-96925.33
2001|2002|9005002|5|9|124|10477|7501|-2976|-152053.23
2001|2002|9007008|7|9|212|18867|15896|-2971|-66400.11
2001|2002|9009008|9|9|4|9789|6882|-2907|-145903.08
2001|2002|9011008|11|9|350|10514|7620|-2894|-99226.55
2001|2002|3001001|9|9|149|10932|8053|-2879|-118478.70
2001|2002|3004001|4|9|300|10786|7997|-2789|-154445.21
2001|2002|9016008|16|9|575|9992|7236|-2756|-146070.38
2001|2002|9005003|14|9|190|10029|7277|-2752|-218260.87
2001|2002|9003002|3|9|374|10339|7614|-2725|-187621.53
2001|2002|9005009|7|9|853|11354|8630|-2724|-107876.58
2001|2002|9009002|9|9|531|10488|7782|-2706|-77973.33
2001|2002|9012002|12|9|267|10981|8277|-2704|-63973.00
2001|2002|9003002|3|9|63|21079|18376|-2703|-74792.73
2001|2002|9006002|6|9|942|10297|7628|-2669|-146289.73
2001|2002|9009008|9|9|140|9739|7102|-2637|-174862.81
2001|2002|9003008|3|9|407|10058|7452|-2606|-129862.72
2001|2002|9005002|5|9|261|10005|7415|-2590|-143695.13
2001|2002|9010010|9|9|441|10050|7464|-2586|-73149.34
2001|2002|9005002|5|9|178|10101|7565|-2536|-143639.57
2001|2002|9003008|3|9|225|10094|7577|-2517|-96384.67
2001|2002|9008004|8|9|296|9670|7159|-2511|-146987.21
2001|2002|9012002|12|9|276|10703|8214|-2489|-72695.63
2001|2002|9006002|6|9|692|10490|8006|-2484|-44271.11
2001|2002|9002008|2|9|193|10057|7632|-2425|-131165.22
2001|2002|6005005|1|9|278|10557|8133|-2424|-89759.83
2001|2002|9015008|15|9|50|10825|8412|-2413|-91715.49
2001|2002|3002001|2|9|295|10358|7949|-2409|-91483.80
2001|2002|9011008|11|9|410|10891|8493|-2398|-88342.71
2001|2002|9009004|9|9|54|10031|7636|-2395|-118136.47
2001|2002|9002004|1|9|364|9406|7036|-2370|-78951.95
2001|2002|9008008|8|9|466|10457|8089|-2368|-58581.86
2001|2002|9012002|12|9|531|10289|7931|-2358|-125580.82
2001|2002|9015008|15|9|170|10469|8113|-2356|-58867.23
2001|2002|9011002|11|9|422|10349|8016|-2333|-25051.10
2001|2002|9001008|1|9|348|9621|7295|-2326|-140780.39
2001|2002|9015010|4|9|494|9908|7590|-2318|-136689.01
2001|2002|9016010|1|9|568|10672|8366|-2306|-119171.18
2001|2002|9011009|6|9|337|10470|8193|-2277|-16136.66
2001|2002|8009007|11|9|979|11026|8753|-2273|-58035.77
2001|2002|9010008|10|9|9|9398|7142|-2256|-154671.67
2001|2002|9014008|14|9|713|10645|8400|-2245|-124471.92
2001|2002|9016008|16|9|557|9900|7662|-2238|-84212.56
2001|2002|9014008|14|9|143|9950|7713|-2237|-105669.40
2001|2002|9010008|10|9|132|10585|8360|-2225|-144918.93
2001|2002|9015008|15|9|285|19161|16957|-2204|-2888.61
2001|2002|1002001|2|9|910|9749|7547|-2202|-106252.81
2001|2002|9011008|11|9|260|10194|7996|-2198|-115384.90
2001|2002|9004004|4|9|385|10109|7913|-2196|-97473.68
2001|2002|9010002|10|9|24|10798|8609|-2189|-86250.23
2001|2002|9002004|1|9|282|9770|7589|-2181|-45974.53
2001|2002|9004008|4|9|66|10552|8374|-2178|-124766.77
2001|2002|9014010|14|9|164|9593|7418|-2175|-132828.93
2001|2002|9007008|7|9|469|10473|8299|-2174|-84792.27
2001|2002|9012008|12|9|112|9972|7800|-2172|-135395.81
2001|2002|9015002|15|9|37|10752|8594|-2158|-96484.50
2001|2002|9016010|16|9|208|9776|7621|-2155|-109299.24
2001|2002|9005002|5|9|46|9598|7450|-2148|-49090.31
2001|2002|3003001|1|9|175|10056|7916|-2140|-76178.58
2001|2002|9002002|2|9|866|10225|8099|-2126|-19403.15
2001|2002|7011003|9|9|465|9718|7599|-2119|-77275.65
2001|2002|9012002|12|9|614|11174|9060|-2114|-135740.20
2001|2002|3002001|5|9|181|10240|8140|-2100|-76721.25
2001|2002|9010002|10|9|319|9346|7247|-2099|-1681.21
2001|2002|9016010|16|9|144|9981|7886|-2095|-100811.98
2001|2002|9012010|12|9|157|9702|7610|-2092|-90861.47
2001|2002|9012010|12|9|285|9694|7605|-2089|-59528.23
2001|2002|1004001|4|9|203|10396|8309|-2087|-75792.27
2001|2002|9005004|4|9|365|9979|7903|-2076|-41027.06
2001|2002|9002002|2|9|193|10343|8270|-2073|-73018.47
2001|2002|9009003|14|9|54|11499|9430|-2069|-102346.51
2001|2002|9015008|15|9|275|10352|8283|-2069|-73031.07
2001|2002|9004010|16|9|91|11228|9165|-2063|-68014.07
2001|2002|9014004|2|9|333|9701|7642|-2059|-93948.92
2001|2002|9005002|5|9|8|18862|16814|-2048|-182772.28
2001|2002|9015002|15|9|945|9699|7653|-2046|-82192.70
2001|2002|9004004|4|9|202|10818|8774|-2044|-93001.92
2001|2002|9013010|13|9|407|9954|7915|-2039|-103500.66
2001|2002|9010008|10|9|1|10196|8160|-2036|-109767.71
2001|2002|3004001|6|9|380|10024|7988|-2036|-85838.17
2001|2002|9007008|7|9|221|9969|7940|-2029|-173893.52
2001|2002|9004008|4|9|256|9889|7863|-2026|-85303.52
2001|2002|2004001|7|9|539|10258|8234|-2024|-143684.20
2001|2002|9014008|14|9|258|10802|8779|-2023|-61797.96
2001|2002|9009010|9|9|427|9383|7362|-2021|-114756.77
2001|2002|9016002|16|9|100|9653|7638|-2015|-132262.22
2001|2002|9015002|15|9|266|10300|8291|-2009|-139620.22
2001|2002|9006008|6|9|72|18019|16021|-1998|-167760.21
2001|2002|9001002|1|9|152|9210|7216|-1994|-84987.48
