channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|1|NULL|3|4914.64
catalog|cs_ship_addr_sk|1998|1|Books|84|74397.34
catalog|cs_ship_addr_sk|1998|1|Children|121|163786.08
catalog|cs_ship_addr_sk|1998|1|Electronics|94|112245.27
catalog|cs_ship_addr_sk|1998|1|Home|107|151330.28
catalog|cs_ship_addr_sk|1998|1|Jewelry|94|215002.99
catalog|cs_ship_addr_sk|1998|1|Men|123|177500.65
catalog|cs_ship_addr_sk|1998|1|Music|103|166597.55
catalog|cs_ship_addr_sk|1998|1|Shoes|102|128961.95
catalog|cs_ship_addr_sk|1998|1|Sports|103|124036.83
catalog|cs_ship_addr_sk|1998|1|Women|104|140540.65
catalog|cs_ship_addr_sk|1998|2|NULL|2|2655.18
catalog|cs_ship_addr_sk|1998|2|Books|80|94402.33
catalog|cs_ship_addr_sk|1998|2|Children|98|102071.93
catalog|cs_ship_addr_sk|1998|2|Electronics|108|152693.65
catalog|cs_ship_addr_sk|1998|2|Home|93|100627.95
catalog|cs_ship_addr_sk|1998|2|Jewelry|95|145032.12
catalog|cs_ship_addr_sk|1998|2|Men|98|90894.45
catalog|cs_ship_addr_sk|1998|2|Music|83|53813.90
catalog|cs_ship_addr_sk|1998|2|Shoes|111|124266.30
catalog|cs_ship_addr_sk|1998|2|Sports|110|166265.74
catalog|cs_ship_addr_sk|1998|2|Women|103|129182.65
catalog|cs_ship_addr_sk|1998|3|NULL|2|164.69
catalog|cs_ship_addr_sk|1998|3|Books|182|238702.08
catalog|cs_ship_addr_sk|1998|3|Children|196|214749.59
catalog|cs_ship_addr_sk|1998|3|Electronics|205|307658.68
catalog|cs_ship_addr_sk|1998|3|Home|161|177935.29
catalog|cs_ship_addr_sk|1998|3|Jewelry|191|203248.37
catalog|cs_ship_addr_sk|1998|3|Men|184|238588.44
catalog|cs_ship_addr_sk|1998|3|Music|190|244124.04
catalog|cs_ship_addr_sk|1998|3|Shoes|190|193308.18
catalog|cs_ship_addr_sk|1998|3|Sports|199|309647.96
catalog|cs_ship_addr_sk|1998|3|Women|189|260982.86
catalog|cs_ship_addr_sk|1998|4|NULL|12|25141.18
catalog|cs_ship_addr_sk|1998|4|Books|309|504115.84
catalog|cs_ship_addr_sk|1998|4|Children|314|353487.67
catalog|cs_ship_addr_sk|1998|4|Electronics|308|336164.62
catalog|cs_ship_addr_sk|1998|4|Home|305|404883.94
catalog|cs_ship_addr_sk|1998|4|Jewelry|303|416318.75
catalog|cs_ship_addr_sk|1998|4|Men|287|393810.56
catalog|cs_ship_addr_sk|1998|4|Music|349|431969.09
catalog|cs_ship_addr_sk|1998|4|Shoes|348|385316.27
catalog|cs_ship_addr_sk|1998|4|Sports|323|427959.23
