ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|146|131762|0.28|11|61.68|16.17|39|19.22|30.71
2000|245|216774|2.3|69|86.16|33.92|30|78.32|71.92
2000|401|418388|0.56|23|99.72|93.45|41|77.14|101.69
2000|415|347438|10.33|62|50.39|7.48|6|50.46|15.31
2000|782|313069|0.19|7|7.30|0.30|36|16.73|16.79
2000|799|193671|0.03|2|59.08|31.53|60|78.75|55.68
2000|878|8667|2.26|52|26.59|19.63|23|49.79|73.68
2000|1028|159724|2.61|73|63.24|52.98|28|3.47|1.27
2000|1367|359518|1.83|99|64.11|84.92|54|25.70|10.40
2000|1393|269022|0.06|2|44.91|33.19|34|9.37|6.95
2000|1511|216999|0.05|4|79.96|93.02|74|93.75|128.69
2000|1543|246330|1.38|51|25.85|28.72|37|22.33|24.50
2000|1649|464393|0.4|27|20.61|15.88|68|60.69|3.02
2000|1655|1984|4.18|46|72.38|60.44|11|36.85|80.06
2000|1679|436073|0.58|56|33.97|22.46|96|33.12|42.80
2000|1766|64453|1.7|97|17.95|9.20|57|10.95|6.86
2000|1795|26110|2.0|94|68.32|76.32|47|48.54|31.39
2000|1967|301031|3.76|79|17.35|4.34|21|34.72|45.68
2000|2159|452815|1.04|77|19.05|14.87|74|92.23|67.50
2000|2408|402595|1.49|61|14.28|8.18|41|45.46|17.56
2000|2495|419244|0.82|68|31.44|25.59|83|77.24|128.37
2000|2498|303383|0.61|43|95.72|86.03|70|59.54|51.79
2000|3119|322125|0.36|34|67.88|37.41|94|70.71|160.67
2000|3157|370906|1.44|95|34.02|1.48|66|89.95|8.09
2000|3287|97598|1.25|40|61.98|33.51|32|76.23|33.70
2000|3845|282083|1.41|58|18.80|7.36|41|79.94|1.14
2000|4045|288308|1.13|95|24.02|23.50|84|32.54|52.60
2000|4094|206640|0.28|17|26.96|31.02|61|97.43|134.05
2000|4255|193550|0.19|18|96.29|99.68|93|95.80|48.62
2000|4370|414666|0.04|2|63.09|56.95|45|14.43|10.54
2000|4439|42248|0.91|50|25.60|9.03|55|84.24|23.31
2000|4502|316593|0.96|27|60.30|45.76|28|28.24|74.04
2000|4535|27081|5.18|88|73.57|76.26|17|51.67|83.09
2000|4585|95150|0.85|40|2.90|2.20|47|46.37|60.43
2000|4681|254991|2.2|88|90.32|19.96|40|33.69|13.67
2000|4727|348589|1.44|82|64.50|74.30|57|6.33|0.56
2000|4922|287923|0.73|70|97.28|2.47|96|33.77|43.34
2000|4985|400314|0.17|7|95.59|102.77|41|39.50|42.87
2000|5327|413102|1.38|22|37.48|26.58|16|92.85|30.22
2000|5492|494389|1.72|91|99.80|36.22|53|2.33|0.80
2000|5659|277102|1.19|37|47.43|2.39|31|73.39|77.62
2000|5792|64050|2.33|21|66.45|28.85|9|8.68|5.38
2000|5837|346371|1.92|98|5.92|6.10|51|59.66|37.59
2000|5906|5400|1.11|93|87.64|143.54|84|86.02|133.66
2000|6116|284143|0.39|36|64.83|66.34|93|79.93|80.19
2000|6301|82263|0.95|75|76.61|18.66|79|5.34|8.49
2000|6596|399122|0.65|56|62.04|13.25|86|88.67|93.36
2000|6625|355426|1.38|98|96.40|19.31|71|85.74|9.39
2000|6655|492721|12.0|24|43.06|15.07|2|72.16|20.49
2000|6716|392926|0.47|43|40.33|33.01|92|54.03|20.42
2000|6925|398636|0.53|9|69.26|69.13|17|14.85|21.58
2000|7213|426941|0.54|50|64.75|49.99|92|24.25|2.26
2000|7328|387623|0.13|8|10.06|4.26|64|11.61|9.30
2000|7505|115851|1.34|47|16.29|8.63|35|62.52|50.03
2000|7517|479521|0.81|26|56.08|63.28|32|33.30|31.64
2000|8033|75080|4.53|77|28.24|11.43|17|42.47|9.32
2000|8227|36425|1.7|80|29.07|34.19|47|4.92|9.91
2000|8306|257219|0.8|20|41.63|14.28|25|59.53|121.50
2000|8342|107795|3.53|60|92.24|113.63|17|27.56|18.87
2000|8465|240698|0.78|18|66.72|2.20|23|54.68|81.78
2000|8821|285499|0.75|3|98.01|6.31|4|6.07|0.35
2000|9044|137302|22.0|44|44.68|26.92|2|53.06|50.08
2000|9071|269352|1.12|47|20.52|7.94|42|84.64|134.90
2000|9164|476888|1.33|24|77.09|26.21|18|83.37|100.83
2000|9283|100781|2.39|91|1.53|2.03|38|96.87|205.86
2000|9332|339725|1.24|36|37.08|28.29|29|81.00|57.10
2000|9515|451953|2.3|85|15.49|2.10|37|49.77|27.06
2000|9569|405453|0.74|20|51.94|55.84|27|15.17|6.79
2000|9740|300392|1.43|43|89.13|106.89|30|30.71|28.24
2000|9781|264284|7.33|44|64.21|52.71|6|79.11|200.85
2000|9791|312344|0.87|81|91.75|46.03|93|48.90|22.91
2000|10129|379652|2.33|49|38.55|54.58|21|30.85|45.97
2000|10232|181874|0.15|10|2.42|2.03|65|63.45|39.72
2000|10514|228079|1.49|67|53.58|21.26|45|53.70|46.51
2000|10801|253859|1.11|99|40.62|10.18|89|23.28|6.79
2000|10874|133567|0.5|7|13.33|23.92|14|3.44|2.65
2000|11153|454883|5.0|80|87.92|73.62|16|50.09|44.70
2000|11299|183007|1.39|43|NULL|37.30|31|94.63|88.75
2000|11315|490075|4.05|89|47.81|2.91|22|32.35|2.63
2000|11483|45457|3.95|87|23.30|8.27|22|80.45|54.70
2000|11666|347675|2.07|87|64.28|73.27|42|75.69|6.72
2000|11738|364891|2.47|42|71.93|1.62|17|9.32|0.00
2000|12451|205639|0.35|28|22.01|22.18|81|47.16|121.92
2000|12947|99345|0.18|10|60.01|10.21|56|38.23|42.11
2000|13031|454219|NULL|NULL|NULL|34.26|12|1.09|1.10
2000|13076|190458|1.56|98|89.86|73.34|63|2.88|0.63
2000|13207|393839|9.0|54|49.96|9.44|6|58.66|70.70
2000|13256|331802|3.19|51|68.22|38.30|16|89.09|84.27
2000|13483|7691|0.7|40|90.33|117.87|57|82.13|18.13
2000|13520|446062|1.44|62|15.37|12.49|43|99.66|39.82
2000|13712|59131|0.93|87|53.56|65.29|94|73.77|50.45
2000|14057|128055|1.12|56|73.86|4.17|50|66.73|87.68
2000|14180|335420|16.0|32|33.70|33.69|2|74.90|90.27
2000|14198|453194|3.32|83|51.21|58.10|25|38.00|17.50
2000|14384|434260|0.79|33|55.64|78.22|42|56.73|10.29
2000|14498|180845|1.21|99|31.64|51.99|82|25.97|56.88
2000|14563|235916|0.98|91|76.86|30.50|93|46.29|21.74
2000|14564|337118|1.23|80|25.19|8.93|65|18.96|19.42
2000|14627|87987|0.63|40|92.99|63.60|64|70.33|17.58
2000|14810|380317|0.53|10|64.16|40.70|19|73.76|110.19
