c_last_name|c_first_name|"main.""substring""(s_city, 1, 30)"|ss_ticket_number|amt|profit
NULL|NULL|Fairview|63346|19.42|NULL
NULL|NULL|Fairview|311683|NULL|NULL
NULL|NULL|Fairview|646634|0.00|NULL
NULL|NULL|Fairview|663730|43.04|NULL
NULL|NULL|Fairview|674381|0.00|NULL
NULL|NULL|Fairview|1889853|0.00|NULL
NULL|NULL|Fairview|1171035|9060.83|-24224.46
NULL|NULL|Fairview|1808086|4181.75|-24212.73
NULL|NULL|Fairview|1391460|1061.34|-23765.97
NULL|NULL|Fairview|916428|5151.03|-22386.14
NULL|NULL|Fairview|2190556|1535.26|-22384.20
NULL|NULL|Fairview|82253|3693.73|-22106.29
NULL|NULL|Fairview|244479|2563.74|-21960.99
NULL|NULL|Fairview|355138|8217.02|-21953.15
NULL|NULL|Fairview|1219266|2559.71|-21940.01
NULL|NULL|Fairview|2227277|913.11|-21279.89
NULL|NULL|Fairview|1280851|1085.89|-21062.98
NULL|NULL|Fairview|2276486|0.00|-20555.02
NULL|NULL|Fairview|911269|5282.74|-20398.26
NULL|NULL|Fairview|1422906|5402.18|-20348.86
NULL|NULL|Fairview|1814674|6308.87|-20275.79
NULL|NULL|Fairview|1609816|2354.56|-19789.65
NULL|NULL|Fairview|1439863|1138.62|-19539.55
NULL|NULL|Fairview|957174|3070.09|-19383.57
NULL|NULL|Fairview|945796|23.30|-18331.05
NULL|NULL|Fairview|1270758|6296.86|-18309.80
NULL|NULL|Fairview|2047209|2151.77|-18169.96
NULL|NULL|Fairview|1127441|2597.12|-17877.49
NULL|NULL|Fairview|1693357|146.04|-17850.53
NULL|NULL|Fairview|1946282|1125.35|-17848.93
NULL|NULL|Fairview|262905|300.24|-17716.54
NULL|NULL|Fairview|63346|894.66|-17661.12
NULL|NULL|Fairview|1183195|383.38|-17634.56
NULL|NULL|Fairview|274207|8895.33|-17404.36
NULL|NULL|Fairview|112463|7595.41|-17355.79
NULL|NULL|Fairview|1698961|6331.87|-17125.31
NULL|NULL|Fairview|2206812|3399.00|-16816.79
NULL|NULL|Fairview|514083|3923.51|-16702.10
NULL|NULL|Fairview|1990044|1961.13|-16270.89
NULL|NULL|Fairview|776884|480.61|-16096.12
NULL|NULL|Fairview|1420114|725.76|-15992.08
NULL|NULL|Fairview|310524|3414.90|-15971.91
NULL|NULL|Fairview|1929799|4124.42|-15746.24
NULL|NULL|Fairview|2108064|11882.70|-15683.52
NULL|NULL|Fairview|1980671|6145.30|-15634.61
NULL|NULL|Fairview|1325520|1797.24|-15574.43
NULL|NULL|Fairview|1705169|6830.98|-15376.14
NULL|NULL|Fairview|1150147|1406.58|-14898.97
NULL|NULL|Fairview|725443|8311.58|-14850.41
NULL|NULL|Fairview|856433|260.67|-14737.59
NULL|NULL|Fairview|1889853|4175.92|-14719.62
NULL|NULL|Fairview|2271464|35.30|-14601.36
NULL|NULL|Fairview|34019|2249.60|-14407.31
NULL|NULL|Fairview|1419474|241.43|-14357.32
NULL|NULL|Fairview|444643|8708.77|-14274.70
NULL|NULL|Fairview|397095|8351.54|-13519.29
NULL|NULL|Fairview|755633|3413.83|-13216.60
NULL|NULL|Fairview|109865|8696.41|-13059.70
NULL|NULL|Fairview|400098|3357.64|-13057.38
NULL|NULL|Fairview|691464|24.70|-13049.47
NULL|NULL|Fairview|675893|7770.45|-12864.68
NULL|NULL|Fairview|1064349|1317.62|-12791.31
NULL|NULL|Fairview|611157|6405.12|-12664.75
NULL|NULL|Fairview|1999287|2040.28|-12498.48
NULL|NULL|Fairview|1613756|1381.44|-12406.32
NULL|NULL|Fairview|1451606|2688.89|-12273.15
NULL|NULL|Fairview|487144|104.84|-12257.49
NULL|NULL|Fairview|2263011|271.04|-12201.92
NULL|NULL|Fairview|1990069|698.88|-12117.61
NULL|NULL|Fairview|646497|3043.64|-12098.16
NULL|NULL|Fairview|139088|10896.24|-11834.75
NULL|NULL|Fairview|1402669|1178.32|-11613.02
NULL|NULL|Fairview|789657|4345.52|-11566.31
NULL|NULL|Fairview|1403165|9446.73|-11525.47
NULL|NULL|Fairview|576867|1145.79|-11378.67
NULL|NULL|Fairview|638668|1591.53|-11361.72
NULL|NULL|Fairview|58209|842.06|-11350.74
NULL|NULL|Fairview|1726108|963.16|-11317.41
NULL|NULL|Fairview|1833782|6595.59|-11276.87
NULL|NULL|Fairview|1489994|1667.75|-11225.79
NULL|NULL|Fairview|2367226|2309.51|-11189.51
NULL|NULL|Fairview|972314|1311.89|-11137.16
NULL|NULL|Fairview|973421|5315.03|-10997.35
NULL|NULL|Fairview|211112|0.00|-10957.94
NULL|NULL|Fairview|1018912|7.27|-10936.50
NULL|NULL|Fairview|1322595|4317.52|-10900.20
NULL|NULL|Fairview|838494|3401.18|-10886.15
NULL|NULL|Fairview|1644576|654.40|-10864.76
NULL|NULL|Fairview|1566199|3356.46|-10662.72
NULL|NULL|Fairview|1826300|3485.95|-10534.99
NULL|NULL|Fairview|2038636|5158.50|-10521.45
NULL|NULL|Fairview|1926881|1800.38|-10415.87
NULL|NULL|Fairview|361964|5902.13|-10333.83
NULL|NULL|Fairview|1447808|2352.57|-10321.48
NULL|NULL|Fairview|2304832|4233.49|-10236.83
NULL|NULL|Fairview|1122952|0.00|-10166.40
NULL|NULL|Fairview|1853011|1453.19|-10066.69
NULL|NULL|Fairview|1587798|367.45|-10058.45
NULL|NULL|Fairview|1947917|13.85|-9965.19
NULL|NULL|Fairview|1392487|1491.21|-9788.35
