channel|id|sales|returns_|profit
NULL|NULL|126917828.54|6193118.84|-36866863.51
catalog channel|NULL|44061447.87|2111767.73|-5936727.54
catalog channel|catalog_pageAAAAAAAAAADBAAAA|42604.29|2290.80|-32936.95
catalog channel|catalog_pageAAAAAAAAABABAAAA|223794.77|14375.39|8327.08
catalog channel|catalog_pageAAAAAAAAABDBAAAA|65313.73|780.04|12034.63
catalog channel|catalog_pageAAAAAAAAACABAAAA|126498.67|3173.05|-27769.63
catalog channel|catalog_pageAAAAAAAAACDBAAAA|32806.62|2331.41|-6207.66
catalog channel|catalog_pageAAAAAAAAADABAAAA|191258.00|13721.20|-10448.30
catalog channel|catalog_pageAAAAAAAAADDBAAAA|45438.62|691.52|-14241.58
catalog channel|catalog_pageAAAAAAAAAEABAAAA|179801.99|3697.29|-42243.99
catalog channel|catalog_pageAAAAAAAAAEDBAAAA|42169.87|2456.58|-37509.23
catalog channel|catalog_pageAAAAAAAAAFABAAAA|204344.98|26299.21|-26317.85
catalog channel|catalog_pageAAAAAAAAAFDBAAAA|39363.31|1479.04|-14932.90
catalog channel|catalog_pageAAAAAAAAAGABAAAA|143375.34|11366.22|-20069.06
catalog channel|catalog_pageAAAAAAAAAGDBAAAA|58873.23|660.66|-19688.03
catalog channel|catalog_pageAAAAAAAAAHABAAAA|144517.18|6796.54|-46999.05
catalog channel|catalog_pageAAAAAAAAAHDBAAAA|69616.52|930.78|-9873.85
catalog channel|catalog_pageAAAAAAAAAIABAAAA|101608.30|713.08|-10022.86
catalog channel|catalog_pageAAAAAAAAAIDBAAAA|42074.11|94.56|-3202.76
catalog channel|catalog_pageAAAAAAAAAJABAAAA|66956.77|5491.06|-19551.55
catalog channel|catalog_pageAAAAAAAAAKABAAAA|144549.03|9612.81|-12671.54
catalog channel|catalog_pageAAAAAAAAALABAAAA|109222.85|7590.40|-12681.60
catalog channel|catalog_pageAAAAAAAAALCBAAAA|62584.68|542.19|-2698.05
catalog channel|catalog_pageAAAAAAAAAMABAAAA|112526.64|5099.25|-12418.50
catalog channel|catalog_pageAAAAAAAAAMCBAAAA|76109.61|2711.62|-5546.29
catalog channel|catalog_pageAAAAAAAAANABAAAA|118581.02|6958.75|-15430.04
catalog channel|catalog_pageAAAAAAAAANCBAAAA|35380.95|1906.99|-1004.27
catalog channel|catalog_pageAAAAAAAAAOABAAAA|80406.39|2142.58|-3763.09
catalog channel|catalog_pageAAAAAAAAAOCBAAAA|38891.98|0.00|-15871.12
catalog channel|catalog_pageAAAAAAAAAPCBAAAA|69477.24|8107.09|16412.88
catalog channel|catalog_pageAAAAAAAABADBAAAA|19330.43|1799.16|-13031.22
catalog channel|catalog_pageAAAAAAAABBABAAAA|210312.14|9042.43|-9337.85
catalog channel|catalog_pageAAAAAAAABBDBAAAA|42336.84|950.25|-10353.75
catalog channel|catalog_pageAAAAAAAABCABAAAA|127793.03|7623.73|-23765.18
catalog channel|catalog_pageAAAAAAAABCDBAAAA|45287.96|5043.97|-16850.60
catalog channel|catalog_pageAAAAAAAABDABAAAA|199363.68|2962.75|-35899.24
catalog channel|catalog_pageAAAAAAAABDDBAAAA|39274.24|11371.82|-26287.05
catalog channel|catalog_pageAAAAAAAABEABAAAA|210104.15|2804.36|-38078.01
catalog channel|catalog_pageAAAAAAAABEDBAAAA|40898.44|6079.74|-23618.73
catalog channel|catalog_pageAAAAAAAABFABAAAA|208050.52|8392.58|-41386.21
catalog channel|catalog_pageAAAAAAAABFDBAAAA|39375.97|1403.25|-16777.40
catalog channel|catalog_pageAAAAAAAABGABAAAA|198718.09|7292.02|-42266.60
catalog channel|catalog_pageAAAAAAAABGDBAAAA|44778.98|4216.63|-31533.21
catalog channel|catalog_pageAAAAAAAABHABAAAA|248547.16|17755.84|9563.13
catalog channel|catalog_pageAAAAAAAABHDBAAAA|47062.77|73.76|-15638.99
catalog channel|catalog_pageAAAAAAAABIABAAAA|151769.55|716.10|7616.99
catalog channel|catalog_pageAAAAAAAABIDBAAAA|29373.36|545.50|-6384.66
catalog channel|catalog_pageAAAAAAAABJABAAAA|116151.13|1520.04|-2564.54
