total_sum|i_category|i_class|lochierarchy|rank_within_parent
3320688064.10|NULL|NULL|2|1
335907855.37|Children|NULL|1|1
334983355.71|Sports|NULL|1|2
333362312.47|Women|NULL|1|3
332958573.23|Men|NULL|1|4
331611086.28|Shoes|NULL|1|5
330733744.37|Electronics|NULL|1|6
330057132.18|Home|NULL|1|7
329911691.33|Music|NULL|1|8
327277193.78|Jewelry|NULL|1|9
325644329.08|Books|NULL|1|10
8240790.30|NULL|NULL|1|11
3860464.43|NULL|NULL|0|1
303326.52|NULL|swimwear|0|2
252955.10|NULL|dresses|0|3
209175.19|NULL|fragrances|0|4
175552.82|NULL|athletic|0|5
169175.40|NULL|womens|0|6
155061.01|NULL|sports-apparel|0|7
141406.61|NULL|toddlers|0|8
141217.23|NULL|shirts|0|9
139809.08|NULL|loose stones|0|10
134439.71|NULL|pants|0|11
114861.08|NULL|basketball|0|12
112212.94|NULL|baseball|0|13
110248.84|NULL|memory|0|14
105907.06|NULL|custom|0|15
100751.38|NULL|mens|0|16
100092.78|NULL|scanners|0|17
95562.91|NULL|outdoor|0|18
92185.27|NULL|country|0|19
90539.51|NULL|guns|0|20
90174.24|NULL|musical|0|21
90038.31|NULL|arts|0|22
89204.98|NULL|history|0|23
87258.77|NULL|newborn|0|24
85808.63|NULL|camping|0|25
85587.51|NULL|lighting|0|26
83779.47|NULL|semi-precious|0|27
75039.63|NULL|flatware|0|28
73834.29|NULL|business|0|29
72020.75|NULL|tables|0|30
67282.32|NULL|portable|0|31
65154.58|NULL|curtains/drapes|0|32
61371.35|NULL|fitness|0|33
60314.44|NULL|bracelets|0|34
60103.89|NULL|school-uniforms|0|35
58289.76|NULL|accessories|0|36
58238.96|NULL|classical|0|37
58099.30|NULL|archery|0|38
54819.32|NULL|glassware|0|39
52833.85|NULL|tennis|0|40
51517.99|NULL|womens watch|0|41
42104.22|NULL|maternity|0|42
40623.74|NULL|reference|0|43
37147.15|NULL|rugs|0|44
34370.28|NULL|dvd/vcr players|0|45
827.70|NULL|bedding|0|46
23443539.72|Books|history|0|1
23190429.99|Books|fiction|0|2
21386680.97|Books|reference|0|3
21178869.27|Books|sports|0|4
20779784.15|Books|home repair|0|5
20777712.80|Books|self-help|0|6
20691985.17|Books|romance|0|7
20513146.59|Books|travel|0|8
20468288.49|Books|parenting|0|9
19427542.56|Books|business|0|10
19384337.41|Books|computers|0|11
19265149.91|Books|cooking|0|12
18980358.53|Books|arts|0|13
18816078.64|Books|entertainments|0|14
18523431.13|Books|science|0|15
18266979.33|Books|mystery|0|16
550014.42|Books|NULL|0|17
87387979.43|Children|infants|0|1
82805032.35|Children|school-uniforms|0|2
82798749.36|Children|newborn|0|3
82372135.59|Children|toddlers|0|4
543958.64|Children|NULL|0|5
22918334.46|Electronics|dvd/vcr players|0|1
22330839.71|Electronics|monitors|0|2
21802957.88|Electronics|disk drives|0|3
21448210.34|Electronics|memory|0|4
21351986.56|Electronics|scanners|0|5
21220367.64|Electronics|televisions|0|6
21024630.76|Electronics|karoke|0|7
20490840.96|Electronics|personal|0|8
20195147.88|Electronics|audio|0|9
20174895.86|Electronics|wireless|0|10
20147477.98|Electronics|camcorders|0|11
20056693.89|Electronics|portable|0|12
19531475.60|Electronics|automotive|0|13
19458572.12|Electronics|musical|0|14
19227947.75|Electronics|cameras|0|15
19053262.39|Electronics|stereo|0|16
300102.59|Electronics|NULL|0|17
22548018.74|Home|bedding|0|1
21844336.92|Home|bathroom|0|2
21624146.08|Home|paint|0|3
