i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|amalgamalg #1|able|Unknown|4|18854.36|38941.75166666666
Men|shirts|importoimporto #1|ese|Unknown|4|19329.36|38758.07166666666
Men|shirts|importoimporto #1|ese|Unknown|2|19587.98|38758.07166666666
Women|dresses|amalgamalg #1|bar|Unknown|6|18688.91|37768.909166666665
Women|dresses|amalgamalg #1|ese|Unknown|4|19418.53|38429.905
Men|shirts|importoimporto #1|able|Unknown|6|19480.83|37920.40416666667
Women|dresses|amalgamalg #1|ese|Unknown|2|20110.34|38429.905
Women|dresses|amalgamalg #1|able|Unknown|3|20945.71|38941.75166666666
Men|shirts|importoimporto #1|ese|Unknown|6|21285.54|38758.07166666666
Men|shirts|importoimporto #1|eing|Unknown|2|21315.30|38784.934166666666
Women|dresses|amalgamalg #1|eing|Unknown|2|20590.71|38014.0175
Men|shirts|importoimporto #1|bar|Unknown|6|20617.47|38026.77
Men|shirts|importoimporto #1|able|Unknown|2|20512.72|37920.40416666667
Women|dresses|amalgamalg #1|eing|Unknown|4|20609.38|38014.0175
Women|dresses|amalgamalg #1|able|Unknown|2|21668.78|38941.75166666666
Men|shirts|importoimporto #1|eing|Unknown|4|21634.99|38784.934166666666
Women|dresses|amalgamalg #1|bar|Unknown|3|20738.41|37768.909166666665
Women|dresses|amalgamalg #1|able|Unknown|5|21971.42|38941.75166666666
Women|dresses|amalgamalg #1|eing|Unknown|7|21063.63|38014.0175
Women|dresses|amalgamalg #1|bar|Unknown|4|21189.16|37768.909166666665
Women|dresses|amalgamalg #1|eing|Unknown|6|21455.48|38014.0175
Men|shirts|importoimporto #1|bar|Unknown|5|21474.26|38026.77
Men|shirts|importoimporto #1|ese|Unknown|5|22348.04|38758.07166666666
Men|shirts|importoimporto #1|bar|Unknown|2|21619.60|38026.77
Women|dresses|amalgamalg #1|bar|Unknown|2|21423.70|37768.909166666665
Men|shirts|importoimporto #1|eing|Unknown|6|22611.69|38784.934166666666
Women|dresses|amalgamalg #1|ese|Unknown|7|22301.28|38429.905
Women|dresses|amalgamalg #1|bar|Unknown|7|21669.61|37768.909166666665
Men|shirts|importoimporto #1|bar|Unknown|4|21950.54|38026.77
Women|dresses|amalgamalg #1|able|Unknown|7|22888.76|38941.75166666666
Women|dresses|amalgamalg #1|able|Unknown|6|22993.53|38941.75166666666
Men|shirts|importoimporto #1|eing|Unknown|7|22836.97|38784.934166666666
Men|shirts|importoimporto #1|able|Unknown|3|22021.49|37920.40416666667
Men|shirts|importoimporto #1|able|Unknown|4|22049.02|37920.40416666667
Women|dresses|amalgamalg #1|ese|Unknown|5|22795.13|38429.905
Men|shirts|importoimporto #1|able|Unknown|7|22350.22|37920.40416666667
Men|shirts|importoimporto #1|eing|Unknown|3|23456.29|38784.934166666666
Women|dresses|amalgamalg #1|eing|Unknown|5|22696.04|38014.0175
Men|shirts|importoimporto #1|ese|Unknown|3|23481.39|38758.07166666666
Men|shirts|importoimporto #1|eing|Unknown|5|23538.52|38784.934166666666
Women|dresses|amalgamalg #1|eing|Unknown|3|22773.97|38014.0175
Men|shirts|importoimporto #1|bar|Unknown|7|22904.06|38026.77
Men|shirts|importoimporto #1|able|Unknown|5|23099.94|37920.40416666667
Men|shirts|importoimporto #1|bar|Unknown|3|23281.30|38026.77
Women|dresses|amalgamalg #1|bar|Unknown|5|23381.32|37768.909166666665
Women|dresses|amalgamalg #1|ese|Unknown|6|24519.22|38429.905
Women|dresses|amalgamalg #1|ese|Unknown|3|24798.67|38429.905
Men|shirts|importoimporto #1|cally|Unknown|2|14150.05|27613.28583333333
Men|shirts|importoimporto #1|ese|Unknown|7|25757.83|38758.07166666666
Women|dresses|amalgamalg #1|cally|Unknown|3|15761.88|28361.524166666666
Women|dresses|amalgamalg #1|cally|Unknown|2|15989.52|28361.524166666666
Women|dresses|amalgamalg #1|cally|Unknown|7|16082.81|28361.524166666666
Women|dresses|amalgamalg #1|cally|Unknown|5|16268.99|28361.524166666666
Men|shirts|importoimporto #1|cally|Unknown|7|15539.56|27613.28583333333
Men|shirts|importoimporto #1|ese|Unknown|1|26788.83|38758.07166666666
Women|dresses|amalgamalg #1|cally|Unknown|4|16784.23|28361.524166666666
Men|shirts|importoimporto #1|cally|Unknown|3|16166.63|27613.28583333333
